代码,名称,涨幅%,涨速%,现价,市盈(动),行业PE,细分行业,所属行业,AB股总市值,上市日期,涨跌,买价,流通市值,主营构成,卖价,总量,总金额,市盈(静),换手%,地区,开盘换手Z,现量,今开,最高,最低,昨收,量比,振幅%,均价,内盘,外盘,内外比,买量,卖量,未匹配量,开盘金额,封成比,封单额,流通股(亿),强弱度%,活跃度,笔均量,笔换手,连涨天,3日涨幅%,20日涨幅%,60日涨幅%,年初至今%,换手Z,流通市值Z,流通比例Z%,市盈(TTM),贝塔系数,近日指标提示,短期形态,中期形态,长期形态,开盘%,最高%,最低%,均涨幅%,实体涨幅%,回头波%,攻击波%,现均差%,财务更新,总股本(亿),B/A股(亿),H股(亿),总资产(亿),净资产(亿),少数股权(亿),资产负债率%,流动资产(亿),固定资产(亿),无形资产(亿),流动负债(亿),存货(亿),应收账款(亿),资本公积金(亿),营业收入(亿),营业成本(亿),营业利润(亿),投资收益(亿),利润总额(亿),税后利润(亿),净利润(亿),扣非净利润(亿),未分利润(亿),经营现金流(亿),总现金流(亿),股东人数,人均持股,人均市值,利润同比%,收入同比%,市净率,市现率,市销率,股息率%,每股收益,每股净资,每股公积,每股未分配,每股现金流,权益比%,净益率%,毛利率%,营业利润率%,净利润率%,研发费用(亿),员工人数,交易代码,自选日,自选价,自选收益%
603365,水星家纺,-2.6,-0.3,12.76,15.91,20.73,纺织,日常消费-纺织服饰,         34.03亿,20171120,-0.34,12.76,         34.03亿,被子,12.77,12200,1577.88,9.05,0.46,上海,0,59,13.03,13.15,12.73,13.1,1.45,3.21,12.93,7243,4957,1.46,303,13,--  ,5.73,--  ,--  ,2.67,-0.3,808,15,0.0006,-1,-1.54,-9.57,-11.14,-21.86,1.14,         13.71亿,40.3,10.63,1.04,MACD金叉,9,4,1,-0.53,0.38,-2.82,-1.3,-2.07,-2.97,0.24,-1.3,20220906,2.67,--  ,--  ,34.96,26.11,--  ,25.3,27.5,4.09,1.22,7.8,10.26,2.4,8.95,16.42,10.33,1.17,0,1.29,1.07,1.07,0.81,13.39,-1.43,-5.48,9051,11873,15.15万,-34.9,1.43,1.3,-23.8,2.07,3.8,0.400㈡,9.79,3.36,5.02,-0.54,74.7,   4.09㈡,37.1,7.11,6.51,0.33,3247,603365,--  ,--  ,--  
603366,日出东方,10.07,0,8.42,--  ,16.67,家用电器,可选消费-家用电器,         69.18亿,20120521,0.77,8.42,         67.36亿,太阳能热水器,--  ,547088,45168.01,29.57,6.84,江苏,0.1,465,7.65,8.42,7.6,7.65,1.52,10.72,8.26,337294,209794,1.61,29425,0,--  ,224.15,0.05,2477.59,8,12.36,2987,183,0.0023,1,-1.17,-21.6,78.01,68.74,17.75,         25.96亿,37.53,40.51,1.91,-- -- ,10,8,6,0,10.07,-0.65,7.97,10.07,0,10.79,2.09,20220822,8.22,--  ,--  ,62.33,35.3,0.99,41.78,22.81,10.11,4.53,24.65,7.22,2.7,19.36,17.38,12.31,-0.18,0.13,-0.19,-0.23,-0.23,-0.5,5.68,-1.3,-1.98,36186,8520,7.17万,-164.77,-6.12,1.96,-53.3,3.98,1.02,-0.030㈡,4.3,2.36,0.69,-0.16,56.64,  -0.64㈡,29.18,-1.01,-1.32,0.57,4710,603366,--  ,--  ,--  
603367,辰欣药业,-3.12,-0.08,11.48,14.14,28.74,化学制药,可选消费-医药,         52.04亿,20170929,-0.37,11.47,         51.69亿,小容量注射剂,11.48,17838,2082.73,16.08,0.4,山东,0,212,11.88,11.9,11.47,11.85,1.27,3.63,11.68,11098,6740,1.65,82,14,--  ,6.77,--  ,--  ,4.5,-0.82,1402,13,0.0003,-2,-5.44,-5.67,-3.29,-12.04,0.96,         21.25亿,40.82,16.01,1.06,跌破BOLL下轨,5,5,11,0.25,0.42,-3.21,-1.43,-3.37,-3.53,0.09,-1.69,20220907,4.53,--  ,--  ,62.96,51.03,0,18.94,41.18,12.88,2.07,11.12,6.16,7.07,18.64,18.63,8.4,1.9,0.12,1.94,1.84,1.84,1.71,25.96,0.94,-4.43,27338,6769,7.77万,0.74,1.74,1.02,55.65,2.79,2.53,0.410㈡,11.26,4.11,5.73,0.21,81.05,   3.61㈡,54.91,10.22,9.86,1.5,3206,603367,--  ,--  ,--  
603368,柳药集团,-1.96,-0.05,15.98,7.84,14.9,医药商业,商贸-商业连锁,         57.90亿,20141204,-0.32,15.97,         57.88亿,药品,15.98,39233,6306.48,10.47,1.08,广西,0,410,16.31,16.35,15.97,16.3,1.62,2.33,16.07,29722,9511,3.13,92,78,--  ,4.24,--  ,--  ,3.62,0.33,2093,19,0.0005,-4,-3.32,-3.62,1.91,-13.9,1.5,         41.74亿,72.09,9.79,0.93,MACD死叉,1,14,9,0.06,0.31,-2.02,-1.41,-2.02,-2.26,0.06,-0.55,20220818,3.62,--  ,--  ,180.74,56.55,3.62,66.71,156.27,9.15,2.34,105.6,19.3,89.42,19.8,92.02,80.98,4.49,0,4.49,3.85,3.69,3.64,29.03,-2.93,-4.49,36270,7201,11.51万,12.04,10.56,1.05,-19.73,0.63,2.94,1.020㈡,15.19,5.46,8.01,-0.81,31.29,   6.53㈡,11.99,4.88,4.18,0.09,4751,603368,--  ,--  ,--  
603369,今世缘,-1.48,-0.2,42.04,16.3,31.34,白酒,日常消费-酿酒,        527.39亿,20140703,-0.63,42.04,        527.39亿,特A+类,42.06,64675,27506.37,26.38,0.52,江苏,0,1111,42.65,43.13,42,42.67,0.99,2.65,42.53,35176,29499,1.19,11,1,--  ,54.59,--  ,--  ,12.55,0.82,3885,17,0.0001,-1,-1.26,-8.17,-14.73,-21.87,0.93,        291.53亿,55.28,23.15,0.88,KDJ金叉,9,1,4,-0.05,1.08,-1.57,-0.33,-1.43,-2.53,0.1,-1.15,20220831,12.55,--  ,--  ,145.94,101.79,--  ,30.25,89.08,12.57,1.65,42.64,27.57,0.47,7.17,46.46,12.79,21.51,0.57,21.49,16.18,16.18,16.07,79.94,8.53,-11.98,56673,12236,51.44万,21.22,20.66,5.18,61.82,11.35,1.37,1.300㈡,8.11,0.57,6.37,0.68,69.75,  15.89㈡,72.48,46.3,34.82,0.16,3761,603369,20210202,58.89,-26.85
603377,东方时尚,-4.39,0.18,5.44,119.21,29.7,汽车服务,可选消费-汽车类,         39.59亿,20160205,-0.25,5.43,         39.59亿,驾驶培训收入,5.44,52624,2919.28,27.19,0.72,北京,0,660,5.66,5.69,5.42,5.69,1.4,4.75,5.55,33632,18992,1.77,463,212,--  ,4.7,--  ,--  ,7.28,-2.1,1296,41,0.0006,-3,-5.88,-6.53,-7.17,-39.36,1.37,         20.88亿,52.73,48.98,0.83,MACD死叉,14,3,9,-0.53,0,-4.75,-2.46,-3.89,-4.39,0.37,-1.93,20220915,7.28,--  ,--  ,54.36,21.79,2.56,55.2,9.02,16.63,7.74,19.08,2.59,0.42,8.19,5.08,2.87,0.31,0.02,0.3,0.12,0.17,0.1,6.73,0.56,1.22,21119,18174,9.89万,-80.32,-7.32,1.83,70.1,7.8,0,0.020㈡,2.97,1.12,0.92,0.08,40.09,   0.76㈡,43.5,6.12,2.3,0.13,3573,603377,--  ,--  ,--  
603378,亚士创能,-5.53,-0.21,9.06,60.28,34.32,染料涂料,材料-化工,         39.12亿,20170928,-0.53,9.05,         38.83亿,功能型建筑涂料-工程涂料,9.06,62422,5893.86,--  ,1.46,上海,0.01,470,9.5,9.86,9.05,9.59,1.98,8.45,9.44,37381,25041,1.49,221,2,--  ,18.91,--  ,--  ,4.29,-3.23,2606,24,0.0006,-1,-3.41,-11.87,-13.55,-48.93,4.42,         12.81亿,32.74,--  ,1.76,-- -- ,7,5,9,-0.94,2.82,-5.63,-1.56,-4.63,-8.11,0.11,-3.96,20220819,4.32,--  ,--  ,70.87,16.64,--  ,76.51,38.11,9.7,5.36,46.09,3.75,22.4,7.72,14.13,9.72,0.48,0,0.47,0.32,0.32,0.01,2.85,-3.02,-2.91,17366,8140,7.37万,-49.25,-38.66,2.36,-12.97,2.77,0,0.080㈡,3.84,1.79,0.66,-0.7,23.49,   1.95㈡,31.21,3.41,2.3,0.48,5061,603378,--  ,--  ,--  
603379,三美股份,-2.72,-0.6,24.32,21.58,16.94,化工原料,材料-化工,        148.47亿,20190402,-0.68,24.32,        148.47亿,氟制冷剂,24.35,50975,12614.46,28.46,0.83,浙江,0,3890,24.93,25.29,24.31,25,0.75,3.92,24.75,27508,23467,1.17,447,34,--  ,18.7,--  ,--  ,6.1,-0.42,2649,19,0.0003,-7,-10.65,-20.4,10.85,7.56,2.25,         55.18亿,37.17,20.66,1.7,空头排列,1,8,2,-0.28,1.16,-2.76,-1,-2.45,-3.84,0.04,-1.72,20220826,6.1,--  ,--  ,62.29,55.52,--  ,10.87,48.64,6.45,2.46,6.56,4.51,5.82,15.34,25.69,20.3,4.59,0.02,4.57,3.44,3.44,3.18,31.59,3.54,17.36,24307,9334,22.70万,143.14,45.29,2.67,41.9,5.78,0.68,0.570㈡,9.09,2.51,5.18,0.58,89.13,   6.20㈡,20.96,17.88,13.39,0.17,1722,603379,--  ,--  ,--  
603380,易德龙,-1.4,-0.45,32.39,28.04,40.28,元器件,信息产业-元器件,         52.28亿,20170622,-0.46,32.31,         51.97亿,工业控制类产品,32.39,7548,2442.64,23.32,0.47,江苏,0,33,32.85,33.1,31.82,32.85,1.09,3.9,32.36,3557,3991,0.89,3,12,--  ,2.3,--  ,--  ,1.6,0.9,1509,5,0.0003,-2,-1.45,-9.78,-14.76,-15.01,1.3,         18.77亿,35.9,24.94,0.93,-- -- ,13,2,8,0,0.76,-3.14,-1.49,-1.4,-2.15,1.79,0.09,20220905,1.61,--  ,--  ,18.45,11.61,0.1,36.52,12.37,2.94,0.25,6.43,4.97,4.3,3.98,9.9,7.38,1.18,0,1.15,0.96,0.93,0.91,6.1,0.47,-0.07,7600,7623,24.69万,-13.68,30.06,4.51,110.73,5.28,0.57,0.580㈡,7.18,2.47,3.78,0.29,62.92,   8.03㈡,25.44,11.89,9.73,0.45,1696,603380,--  ,--  ,--  
603383,顶点软件,-2.94,-0.81,35.29,85.26,318.16,软件服务,信息产业-软件服务,         60.32亿,20170522,-1.07,35.28,         59.38亿,定制软件,35.29,44934,16314.25,45.22,2.67,福建,0.01,338,36.13,37.96,35.02,36.36,1.51,8.09,36.31,20031,24903,0.8,8,11,--  ,28.9,--  ,--  ,1.68,-0.65,2823,16,0.0009,-1,-3.15,13.92,39.99,-0.17,5.43,         29.22亿,48.44,48.15,1.29,多头排列,8,6,6,-0.63,4.4,-3.69,-0.14,-2.32,-7.03,0.77,-2.81,20220830,1.71,--  ,--  ,14.86,12.07,0.06,18.43,13.03,0.97,0.1,2.74,1.54,0.76,4.61,2.3,0.74,0.29,0.03,0.29,0.33,0.35,0.3,5.33,-1.34,-1.65,17772,4659,16.44万,-19.12,17.11,5,-44.99,26.23,1.51,0.210㈡,7.06,2.7,3.12,-0.78,81.19,   2.93㈡,67.96,12.67,14.13,0.65,1981,603383,--  ,--  ,--  
603385,惠达卫浴,-3.83,-0.26,7.28,20.56,30.35,家居用品,可选消费-家居用品,         27.94亿,20170405,-0.29,7.28,         27.03亿,卫生陶瓷,7.29,25071,1860.68,12.35,0.68,河北,0,570,7.54,7.59,7.26,7.57,1.36,4.36,7.42,17426,7645,2.28,101,62,--  ,0,--  ,--  ,3.71,-1.53,1801,14,0.0004,-3,-5.21,-1.75,-0.54,-33.27,1.45,         12.58亿,45.02,15.17,1.01,MACD死叉,6,3,9,-0.4,0.26,-4.1,-1.98,-3.45,-4.08,0.28,-1.85,20220913,3.84,--  ,--  ,62.3,38.5,1.92,35.11,33.62,17.18,2.62,20.09,11.22,10.36,10.01,17.26,13.04,0.79,0.26,0.78,0.63,0.68,0.5,23.14,0.83,-0.39,19103,9045,6.58万,-39.21,-1.01,0.73,33.86,1.62,2.46,0.180㈡,10.02,2.61,6.03,0.21,61.81,   1.76㈡,24.45,4.58,3.66,0.72,9811,603385,--  ,--  ,--  
603386,骏亚科技,-2.96,-0.28,10.48,22.64,40.28,元器件,信息产业-元器件,         34.20亿,20170912,-0.32,10.48,         34.20亿,PCB,10.49,25851,2755.56,16.99,0.79,广东,0,687,10.8,10.83,10.44,10.8,1.06,3.61,10.66,14394,11457,1.26,29,104,--  ,0.22,--  ,--  ,3.26,-0.67,1222,21,0.0006,-3,-8.48,-23.84,-1.51,-28.66,2.1,         12.91亿,37.74,21.04,1.27,空头排列,4,2,11,0,0.28,-3.33,-1.3,-2.96,-3.23,0.38,-1.67,20220816,3.26,--  ,--  ,34.31,14.38,--  ,58.07,14.92,9.81,1.11,16.78,3.98,6.34,7.44,13.19,10.52,0.76,0,0.76,0.76,0.76,0.65,4.29,1.72,0.04,17051,7222,7.57万,-34.57,6.26,2.38,19.84,2.59,2.65,0.231㈡,4.41,2.28,1.31,0.53,41.93,   5.25㈡,20.23,5.74,5.73,0.74,5149,603386,--  ,--  ,--  
603387,基蛋生物,-2.76,-0.16,11.62,8.93,18.55,医疗保健,可选消费-医疗保健,         58.93亿,20170717,-0.33,11.61,         58.93亿,试剂类,11.62,45646,5362.83,15.19,0.9,江苏,0,744,11.95,11.99,11.6,11.95,0.92,3.26,11.75,26369,19277,1.37,123,480,--  ,10.76,--  ,--  ,5.07,-0.46,2228,20,0.0004,-3,-5.84,-13.87,-18.46,-17.53,1.64,         32.25亿,54.72,10.86,0.9,空头排列,9,1,11,0,0.33,-2.93,-1.67,-2.76,-3.09,0.17,-1.09,20220824,5.07,--  ,--  ,34.63,23.12,1.76,28.14,25.77,3.84,0.92,9.34,3.44,4.66,3.18,9.73,3.19,3.79,0.2,3.78,3.33,3.3,3.25,13.27,1.39,1.24,32312,8589,9.98万,93.03,62.12,2.55,42.28,6.06,2.03,0.650㈡,4.56,0.63,2.62,0.27,66.76,  14.27㈡,67.27,38.9,34.24,0.99,2125,603387,--  ,--  ,--  
603388,元成股份,-0.48,0,8.32,45.14,7.91,建筑工程,建筑地产-建筑,         23.72亿,20170324,-0.04,8.31,         23.72亿,工程施工及绿化养护,8.32,82865,6876.05,48.69,2.91,浙江,0.02,2834,8.25,8.42,8.2,8.36,0.69,2.63,8.3,45839,37026,1.24,90,141,--  ,20.63,--  ,--  ,2.85,1.82,1734,48,0.0017,-4,-1.54,2.21,19.88,2.34,5.62,         12.26亿,51.68,60.06,1.09,多头排列,12,2,14,-1.32,0.72,-1.91,-0.72,0.85,-1.19,1.46,0.24,20220906,2.85,--  ,--  ,34.38,11.52,2.87,58.15,14.88,0.49,0.73,19.79,0.23,2.51,2.23,2.32,1.67,0.26,0.02,0.26,0.25,0.26,0.23,5.81,0.04,-0.16,14443,10203,8.49万,-26.06,-16.19,2.06,563.82,10.24,0,0.092㈡,4.04,0.78,2.04,0.01,33.51,   2.28㈡,27.77,11.07,10.69,0.08,311,603388,--  ,--  ,--  
603389,亚振家居,-3.7,-0.34,5.73,--  ,30.35,家居用品,可选消费-家居用品,         15.06亿,20161215,-0.22,5.72,         15.06亿,高端定制,5.73,35540,2074.72,--  ,1.35,江苏,0.03,977,5.91,5.99,5.73,5.95,0.72,4.37,5.84,21451,14089,1.52,23,70,--  ,12.35,--  ,--  ,2.63,-1.4,1733,21,0.0008,-4,-6.99,-26.35,13.69,9.98,4.43,          4.60亿,30.54,--  ,1.41,KDJ死叉,10,8,12,-0.67,0.67,-3.7,-1.85,-3.05,-4.34,0,-1.85,20220908,2.63,--  ,--  ,7.96,5.42,-0.12,33.42,3.25,1.5,0.57,1.71,1.99,0.32,3.34,0.97,0.56,-0.55,-0.02,-0.55,-0.55,-0.54,-0.55,-0.82,-0.14,-0.43,9240,8683,4.98万,-193.27,-24.21,2.78,-105.77,15.48,0,-0.200㈡,2.06,1.27,-0.31,-0.05,68.06,  -9.90㈡,41.94,-56.73,-56.42,0.05,1192,603389,--  ,--  ,--  
603390,通达电气,-3.37,-0.27,7.17,--  ,38.31,汽车配件,可选消费-汽车类,         25.22亿,20191125,-0.25,7.17,          9.22亿,车载部件系列,7.18,26155,1896.2,--  ,2.04,广东,0.01,389,7.41,7.41,7.17,7.42,0.95,3.23,7.25,17576,8579,2.05,352,43,--  ,5.41,--  ,--  ,1.29,-1.07,1180,22,0.0017,-2,-6.39,-17.21,-13.41,-21.81,2.04,          9.22亿,36.55,--  ,1.48,KDJ死叉,5,12,11,-0.13,-0.13,-3.37,-2.29,-3.24,-3.24,0,-1.08,20220825,3.52,--  ,--  ,18.89,16.29,0.01,13.69,9.63,6.09,0.67,2.53,1.98,2.47,9.13,1.7,1.36,-0.39,-0.01,-0.39,-0.39,-0.39,-0.42,3.15,-0.13,-0.93,22366,5747,4.12万,-519.39,-24.06,1.55,-188.97,14.81,0,-0.110㈡,4.63,2.6,0.89,-0.04,86.25,  -2.39㈡,20.24,-23.01,-22.94,0.29,993,603390,--  ,--  ,--  
603392,万泰生物,-2.1,0.2,114.35,19.24,18.55,医疗保健,可选消费-医疗保健,       1036.09亿,20200429,-2.45,114.2,        250.06亿,疫苗,114.35,20239,23258.43,52.35,0.93,北京,0.01,724,115.08,117.88,114.01,116.8,0.63,3.31,114.92,11669,8570,1.36,24,25,--  ,199.09,--  ,--  ,2.19,0.2,3086,7,0.0003,-4,-4.05,-13.85,-22.06,-25.08,0.93,        250.06亿,24.14,26.5,0.63,空头排列,9,9,1,-1.47,0.92,-2.39,-1.61,-0.63,-2.99,0.3,-0.49,20220826,9.06,--  ,--  ,140.46,104.98,1.82,23.96,109.13,10.44,2.93,32.08,6.81,40.77,37.28,59.3,6.4,32.57,0.06,32.56,27.79,26.93,26.5,56.01,17.21,39.43,27770,7875,90.05万,273.24,201.92,9.87,60.22,17.47,0.11,3.060㈡,11.59,4.11,6.18,1.9,74.74,  25.65㈡,89.2,54.93,46.87,2.33,3103,603392,--  ,--  ,--  
603393,新天然气,-5.19,-0.12,22.66,10,21.92,供气供热,公用事业-供气供热,         96.06亿,20160912,-1.24,22.66,         85.23亿,煤层气开采行及销售,22.67,104042,24040.47,9.85,2.77,新疆,0.03,614,23.75,23.81,22.61,23.9,1.1,5.02,23.11,60918,43124,1.41,3,177,--  ,150.18,--  ,--  ,3.76,-2.89,3361,31,0.0008,-2,-5.98,-12.27,5.05,-5.9,4.37,         53.91亿,56.12,14.37,1.28,-- -- ,10,8,2,-0.63,-0.38,-5.4,-3.31,-4.59,-4.83,0.22,-1.88,20220906,4.24,--  ,--  ,112.75,47.74,33.42,28.02,43.84,2.37,0.32,18.05,0.24,5.38,21.24,17.01,7.87,10.2,0.17,9.96,8.21,4.8,4.9,21.12,9.08,0.8,54597,4357,9.87万,-40.25,50.17,2.01,10.58,5.65,2.29,1.130㈡,11.26,5.01,4.98,2.14,42.34,  10.06㈡,53.71,59.98,48.24,--  ,825,603393,--  ,--  ,--  
603396,金辰股份,-3.21,-0.14,98,150.67,40.85,专用机械,装备制造-工业机械,        113.97亿,20171018,-3.25,97.99,        113.68亿,光伏组件装备,98,76941,75693.21,193.63,6.63,辽宁,0.1,747,96.51,102.92,94.2,101.25,1.49,8.61,98.38,36091,40850,0.88,1,203,--  ,528.87,--  ,--  ,1.16,-0.91,4038,19,0.0016,-3,-14.04,-32.92,10.01,-20.23,13.59,         55.46亿,48.67,261.42,2.02,-- -- ,10,8,2,-4.68,1.65,-6.96,-2.83,1.54,-4.78,4.03,-0.38,20220907,1.16,--  ,--  ,31.63,14.26,0.27,54.05,28.16,2.08,0.14,16.96,10.21,10.37,8.05,9.52,6.94,0.56,0.04,0.62,0.42,0.38,0.29,4.61,-1.98,-0.68,47308,1196,11.72万,-29.43,34.89,7.99,-57.44,11.97,0.16,0.330㈡,12.26,6.92,3.96,-1.71,45.09,   2.65㈡,27.1,5.93,4.45,0.76,1394,603396,--  ,--  ,--  
603398,沐邦高科,1.13,0.27,36.83,724.27,147.55,文教休闲,社会服务-文教休闲,        126.19亿,20151209,0.41,36.83,        126.19亿,硅制品,36.84,75536,27927.4,--  ,2.2,江西,0.02,875,36.7,37.77,36.18,36.42,0.65,4.37,36.97,37757,37779,1,2738,22,--  ,145.92,--  ,--  ,3.43,3.42,3071,25,0.0007,1,-10.21,-23.28,39.09,86.2,4.18,         66.59亿,52.77,--  ,1.99,-- -- ,10,8,10,0.77,3.71,-0.66,1.51,0.35,-2.49,1.8,-0.38,20220827,3.43,--  ,--  ,27.58,9.54,--  ,65.41,10.35,5.29,0.42,17.08,3.21,1.19,4.13,3.86,3.04,0.18,0,0.15,0.09,0.09,0.1,1.55,0.31,-0.89,9949,18172,66.93万,-69.03,79.53,13.23,401.67,32.69,0,0.030㈡,2.78,1.21,0.45,0.09,34.59,   0.91㈡,21.19,4.58,2.26,0.1,605,603398,--  ,--  ,--  
603399,吉翔股份,-3.95,-0.53,18.5,--  ,15.45,小金属,材料-有色,         95.95亿,20120824,-0.76,18.5,         93.99亿,钼产品,18.51,159023,29851.88,606.82,3.13,辽宁,0.05,4933,19.04,19.2,18.11,19.26,0.74,5.66,18.77,80056,78967,1.01,1553,21,--  ,221.63,--  ,--  ,5.08,-1.65,3115,51,0.001,-2,-5.13,-4.24,-31.04,179.88,6.52,         45.13亿,47.04,--  ,1.5,放量下挫,13,5,10,-1.14,-0.31,-5.97,-2.54,-2.84,-3.65,2.15,-1.4,20220808,5.19,--  ,--  ,33.95,17.39,0.85,46.26,17.97,2.57,4.28,10.11,5.85,4.1,13.49,21.27,20.16,-0.17,0,-0.17,-0.24,-0.3,-0.33,-1.66,0.88,-2.73,32471,7513,13.90万,-308.48,15.97,5.52,108.61,4.51,0,-0.060㈡,3.35,2.6,-0.32,0.17,51.23,  -1.73㈡,5.21,-0.81,-1.13,0.06,502,603399,--  ,--  ,--  
603408,建霖家居,-1.21,-0.08,11.47,11.34,30.35,家居用品,可选消费-家居用品,         51.50亿,20200730,-0.14,11.46,         13.31亿,厨卫产品,11.47,15113,1751.34,13.85,1.3,福建,0,482,11.66,11.72,11.45,11.61,1.32,2.33,11.59,7201,7912,0.91,26,89,--  ,1.63,--  ,--  ,1.16,1.09,1700,9,0.0008,-3,-3.37,1.87,-1.54,-16.88,1.3,         13.31亿,25.84,12.95,0.82,平台整理,5,5,11,0.43,0.95,-1.38,-0.17,-1.63,-2.13,0.17,-1.03,20220831,4.49,--  ,--  ,42.76,26.4,--  ,38.25,27.76,9.42,1.21,14.83,7.16,9.49,10.62,23.52,18.01,2.76,-0.12,2.75,2.27,2.27,2.25,10.7,2.71,-1.95,16250,7140,8.19万,12.96,2.53,1.95,19,2.19,3.39,0.510㈡,5.88,2.37,2.38,0.6,61.75,   8.60㈡,23.41,11.74,9.66,1.31,6867,603408,--  ,--  ,--  
603416,信捷电气,0.98,2.01,38,19.69,31.69,电器仪表,装备制造-电器仪表,         53.41亿,20161221,0.37,37.99,         53.41亿,驱动系统,38,21031,7919.98,17.42,1.5,江苏,0.01,1110,37.6,38.28,36.9,37.63,0.83,3.67,37.66,11388,9643,1.18,4,308,--  ,30.83,--  ,--  ,1.41,3.28,1611,13,0.0009,1,-4.4,-29.61,3.74,-19.75,2.96,         26.96亿,50.47,18.63,0.53,空头排列,10,8,11,-0.08,1.73,-1.94,0.08,1.06,-0.73,2.98,0.9,20220729,1.41,--  ,--  ,26.11,18.75,0.01,28.13,19.94,3.48,0.63,7.1,6.32,1.04,3.7,6.77,4.23,1.5,0.14,1.5,1.36,1.36,1.23,12.95,0.89,0.57,14064,5044,19.17万,-12.7,6.88,2.85,59.93,7.88,0.69,0.970㈡,13.34,2.63,9.21,0.63,71.82,   7.23㈡,37.56,22.18,20.03,0.58,1791,603416,--  ,--  ,--  
603421,鼎信通讯,-2.05,-0.38,7.65,--  ,28.39,通信设备,信息产业-通信设备,         49.89亿,20161011,-0.16,7.65,         49.89亿,电能表,7.67,34009,2641.01,32.52,0.52,山东,0,810,7.83,7.86,7.65,7.81,0.79,2.69,7.77,18797,15212,1.24,48,52,--  ,3.45,--  ,--  ,6.52,0.25,1801,19,0.0003,-7,-7.94,-17.21,6.7,-9.36,1.19,         21.80亿,43.69,27.23,1.57,空头排列,4,12,3,0.26,0.64,-2.05,-0.51,-2.3,-2.67,0,-1.54,20220913,6.52,--  ,--  ,49.96,32.3,--  ,35.36,34.11,10.74,0.74,13.27,14.55,12.07,9.76,9.88,5.92,-0.23,0.01,-0.22,-0.23,-0.23,-0.24,13.43,-4.8,-1.84,23434,12159,9.30万,56.84,37.99,1.54,-10.39,5.05,0.93,-0.040㈡,4.95,1.5,2.06,-0.74,64.64,  -0.72㈡,40.13,-2.32,-2.34,1.84,3689,603421,--  ,--  ,--  
603429,集友股份,-3.17,-0.07,12.21,41.75,36.24,广告包装,社会服务-广告包装,         65.00亿,20170124,-0.4,12.21,         64.04亿,烟标,12.22,55819,6880.18,49.04,1.06,安徽,0,975,12.69,12.69,12.15,12.61,1.04,4.28,12.33,33218,22601,1.47,113,603,--  ,3.17,--  ,--  ,5.24,-0.87,2568,22,0.0004,-3,-7.99,-7.43,-3.48,-34,1.81,         37.75亿,58.08,41.33,1.46,跌破BOLL下轨,1,13,13,0.63,0.63,-3.65,-2.22,-3.78,-3.78,0.49,-0.95,20220820,5.32,--  ,--  ,18.44,13.28,0.3,26.39,11.66,5.29,0.32,4.53,1.72,1.17,3.16,3.44,2.17,0.87,0.01,0.87,0.75,0.78,0.73,5.09,1.5,0.16,21437,14423,17.61万,48.75,23.12,4.9,43.42,18.89,1.13,0.150㈡,2.49,0.59,0.96,0.28,71.99,   5.86㈡,36.96,25.38,21.91,0.2,997,603429,--  ,--  ,--  
603439,贵州三力,-4.56,-0.16,11.73,37.66,28.16,中成药,可选消费-医药,         48.19亿,20200428,-0.56,11.73,         19.04亿,开喉剑喷雾剂（含儿童型）,11.74,40137,4795.55,33.16,2.47,贵州,0.01,422,12.23,12.31,11.71,12.29,1.43,4.88,11.95,26202,13935,1.88,475,146,--  ,17.24,--  ,--  ,1.62,-2.26,2259,18,0.0011,-3,-6.16,-6.08,-11.73,-25.67,3.04,         15.50亿,32.16,34.38,1.22,平台整理,13,13,11,-0.49,0.16,-4.72,-2.77,-4.09,-4.71,0.17,-1.79,20220827,4.11,--  ,--  ,15.4,11,0.03,28.34,9.9,1.76,0.52,4.07,1.35,2.97,2.28,4.3,1.3,0.7,0.07,0.7,0.59,0.64,0.61,4.17,0.77,-0.92,35637,3708,4.35万,-7.78,14.01,4.38,62.3,11.21,0,0.160㈡,2.68,0.55,1.01,0.19,71.45,   5.82㈡,69.81,16.26,13.83,0.02,1007,603439,--  ,--  ,--  
603444,吉比特,2.77,0.01,285,14.88,32.58,互联网,信息产业-互联网,        204.82亿,20170104,7.67,285,        204.82亿,联合运营,285.01,20785,59947.03,13.57,2.89,福建,0.06,159,284.07,295.69,283.5,277.33,3,4.4,288.42,9795,10990,0.89,34,4,--  ,761.36,--  ,--  ,0.72,5.06,2860,7,0.001,2,2.35,-5,-24.67,-29.78,4.95,        119.69亿,58.44,15.87,0.81,-- -- ,13,1,9,2.43,6.62,2.22,4,0.33,-3.62,0.53,-1.23,20220816,0.72,--  ,--  ,66.92,41.7,4.83,30.47,38.63,6.99,0.02,18.51,0,4.01,13.26,25.11,2.53,11.38,0.08,11.37,8.94,6.88,6.68,27.1,7.5,0.96,16832,2495,71.11万,-23.59,5.17,4.91,27.31,8.16,5.77,9.580㈡,58.02,18.46,37.72,10.43,62.31,  16.51㈡,89.93,45.33,35.61,3.79,945,603444,--  ,--  ,--  
