代码,名称,涨幅%,涨速%,现价,市盈(动),行业PE,细分行业,所属行业,AB股总市值,涨跌,买价,流通市值,主营构成,卖价,总量,总金额,市盈(静),换手%,地区,开盘换手Z,现量,今开,最高,最低,昨收,量比,振幅%,均价,内盘,外盘,内外比,买量,卖量,未匹配量,开盘金额,封成比,封单额,流通股(亿),强弱度%,活跃度,笔均量,笔换手,连涨天,3日涨幅%,20日涨幅%,60日涨幅%,年初至今%,换手Z,流通市值Z,流通比例Z%,市盈(TTM),贝塔系数,近日指标提示,短期形态,中期形态,长期形态,开盘%,最高%,最低%,均涨幅%,实体涨幅%,回头波%,攻击波%,现均差%,财务更新,上市日期,总股本(亿),B/A股(亿),H股(亿),总资产(亿),净资产(亿),少数股权(亿),资产负债率%,流动资产(亿),固定资产(亿),无形资产(亿),流动负债(亿),存货(亿),应收账款(亿),资本公积金(亿),营业收入(亿),营业成本(亿),营业利润(亿),投资收益(亿),利润总额(亿),税后利润(亿),净利润(亿),扣非净利润(亿),未分利润(亿),经营现金流(亿),总现金流(亿),股东人数,人均持股,人均市值,利润同比%,收入同比%,市净率,市现率,市销率,股息率%,每股收益,每股净资,每股公积,每股未分配,每股现金流,权益比%,净益率%,毛利率%,营业利润率%,净利润率%,研发费用(亿),员工人数,交易代码,自选日,自选价,自选收益%
600197,伊力特,0.95,0.08,24.53,45.09,31.29,白酒,日常消费-酿酒,        115.77亿,0.23,24.52,        115.77亿,高档酒产品,24.53,45402,11057.83,37.02,0.96,新疆,0.01,737,24.3,24.53,24.15,24.3,0.41,1.56,24.36,23752,21650,1.1,21,67,--  ,91.85,--  ,--  ,4.72,0.9,2858,16,0.0003,1,-0.48,-13.29,-17.66,-8.16,1.65,         67.36亿,58.18,50.54,0.78,-- -- ,9,7,1,0,0.95,-0.62,0.25,0.95,0,1.57,0.7,20220826,19990916,4.72,--  ,--  ,49.01,38.2,1.22,19.56,28.33,16.92,0.91,7.54,13.53,1.9,7.73,11.33,6.09,1.96,0.02,1.92,1.34,1.28,1.31,20.2,0.11,1.25,49076,5595,13.73万,-39.46,9.96,3.07,1028.83,10.22,1.67,0.272㈡,7.99,1.64,4.28,0.02,77.95,   3.36㈡,46.26,17.3,11.83,0.09,2061,600197,--  ,--  ,--  
600198,大唐电信,4.55,0,6.67,--  ,29.47,通信设备,信息产业-通信设备,         87.62亿,0.29,6.67,         58.73亿,特种通信（专用通信）,6.68,144283,9538.67,--  ,1.64,北京,0,1791,6.38,6.76,6.38,6.38,2.04,5.96,6.61,53447,90836,0.59,552,952,--  ,6.44,--  ,--  ,8.8,4.5,2403,60,0.0007,1,1.84,-2.91,-8.5,-24.63,2.48,         38.76亿,44.23,--  ,1.25,KDJ金叉,3,11,1,0,5.96,0,3.61,4.55,-1.33,4.55,0.94,20220830,19981021,13.14,--  ,--  ,36.82,5.14,13.4,49.66,21.95,1.92,0.66,16.23,3.48,8.6,68.44,4.27,1.96,0.19,-0.24,0.18,0.19,-0.2,-1.01,-77.25,-1.15,-7.58,72483,8017,5.35万,50.14,-20.32,17.06,-76.4,20.54,0,-0.015㈡,0.39,5.21,-5.88,-0.09,13.95,  -3.86㈡,54.15,4.37,4.34,0.9,1243,600198,--  ,--  ,--  
600199,金种子酒,-1.44,0.12,25.4,--  ,31.29,白酒,日常消费-酿酒,        167.08亿,-0.37,25.4,        167.08亿,药品,25.41,122718,31274.49,--  ,1.87,安徽,0.01,1912,25.98,26,25.2,25.77,0.77,3.1,25.48,63651,59067,1.08,238,123,--  ,118.99,--  ,--  ,6.58,-1.48,3769,33,0.0005,-6,-3.65,-1.21,-6.27,50.21,2.8,        111.45亿,66.71,--  ,1.12,-- -- ,5,11,10,0.81,0.89,-2.21,-1.13,-2.23,-2.31,0.79,-0.31,20220831,19980812,6.58,--  ,--  ,35.27,26.82,0.1,23.68,22.73,6.49,2.57,6.68,13.17,1.8,11.75,6.02,4.02,-0.48,0.01,-0.47,-0.54,-0.55,-0.68,6.14,-3.02,-3.61,116939,3752,9.53万,43.63,10.39,6.23,-55.27,27.78,0,-0.084㈡,4.08,1.79,0.93,-0.46,76.04,  -2.05㈡,33.25,-8,-8.97,0.12,2699,600199,--  ,--  ,--  
600200,江苏吴中,-0.56,0,7.08,--  ,29.89,化学制药,可选消费-医药,         50.44亿,-0.04,7.07,         50.20亿,药品行业,7.08,67932,4824.23,222.03,0.96,江苏,0,328,7.12,7.2,7.04,7.12,0.84,2.25,7.1,37613,30319,1.24,578,714,--  ,7.33,--  ,--  ,7.09,-0.61,1733,39,0.0006,-1,0.15,-10.49,1.14,-17.39,1.16,         41.51亿,82.3,--  ,1.17,-- -- ,1,4,14,0,1.12,-1.12,-0.28,-0.56,-1.67,0.57,-0.28,20220830,19990401,7.12,--  ,--  ,36.04,18.53,0.21,48.01,25.39,2.31,1.07,14.99,1.16,8.29,13.97,7.86,5.15,-0.19,0.08,-0.2,-0.2,-0.19,-0.26,-3.6,-1.1,0.61,78199,7497,5.31万,-127.89,-24.02,2.72,-45.99,6.42,0,-0.030㈡,2.6,1.96,-0.51,-0.15,51.41,  -1.05㈡,34.49,-2.48,-2.6,0.16,1067,600200,--  ,--  ,--  
600201,生物股份,0.93,0.12,8.7,46.68,--  ,农业综合,日常消费-农林牧渔,         97.98亿,0.08,8.69,         95.75亿,生物制药,8.7,130191,11303,25.63,1.18,内蒙,0,1337,8.65,8.76,8.57,8.62,0.77,2.2,8.68,66076,64115,1.03,1464,715,--  ,31.75,--  ,--  ,11.01,0.88,2618,50,0.0005,2,-0.56,2.35,2.96,-46.43,1.33,         85.11亿,86.87,42.73,1.06,多头排列,14,13,13,0.35,1.62,-0.58,0.7,0.58,-0.68,1.52,0.23,20220830,19990115,11.26,--  ,--  ,64.89,50.77,2.85,17.37,27.05,16.78,3.65,7.68,3.35,7.41,8.93,6.42,3.11,1.33,0.01,1.23,1.02,1.05,1.08,28.88,0.4,-0.86,77279,12659,11.01万,-59.32,-23.63,1.93,244.93,15.27,1.24,0.090㈡,4.51,0.79,2.56,0.04,78.23,   2.07㈡,51.6,20.74,15.93,0.53,1580,600201,--  ,--  ,--  
600202,哈空调,5.72,-0.32,6.1,241.83,41.93,专用机械,装备制造-工业机械,         23.38亿,0.33,6.1,         23.38亿,电站空冷器,6.11,316200,19095.69,35.35,8.25,黑龙江,0.11,5359,5.83,6.2,5.74,5.77,1.63,7.97,6.04,145144,171056,0.85,377,184,--  ,164.76,--  ,--  ,3.83,5.67,3118,101,0.0026,1,-1.3,15.97,6.64,23.48,12.5,         15.43亿,65.97,358.11,1.34,KDJ金叉,12,2,12,1.04,7.45,-0.52,4.68,4.63,-1.61,6.27,1.04,20220823,19990603,3.83,--  ,--  ,20.74,7.76,0.03,62.45,14.7,3.8,0.35,11.86,2.11,7.65,0.8,4.54,4.01,0.03,0,0.06,0.05,0.05,0.02,1.62,0.61,0.08,32436,7797,4.76万,-92.5,0.65,3.01,38.45,5.16,0,0.013㈡,2.02,0.21,0.42,0.16,37.41,   0.62㈡,11.64,0.72,1.05,0.12,491,600202,--  ,--  ,--  
600203,福日电子,2.33,0.14,7.02,48.44,41.79,元器件,信息产业-元器件,         41.63亿,0.16,7.02,         39.71亿,中诺通讯,7.03,87394,6075.08,--  ,1.54,福建,0,444,6.89,7.05,6.84,6.86,0.82,3.06,6.95,37485,49909,0.75,95,332,--  ,13.85,--  ,--  ,5.66,2.29,2285,38,0.0007,1,-2.37,-3.31,-3.31,-31.65,2.04,         30.03亿,72.14,--  ,1.8,-- -- ,10,3,9,0.44,2.77,-0.29,1.31,1.89,-0.43,2.63,1.02,20220816,19990514,5.93,--  ,--  ,112.67,29.55,5.85,68.58,79.88,7.31,2.14,73.41,22.42,28.31,25.13,85.61,82.88,0.63,1.16,0.64,0.46,0.43,0.04,-2.03,-9.17,-4.1,27230,15709,11.03万,147,14.06,1.41,-4.54,0.49,0,0.070㈡,4.98,4.24,-0.34,-1.55,26.23,   1.45㈡,3.19,0.74,0.54,1.48,5538,600203,--  ,--  ,--  
600206,有研新材,1.62,0.14,14.41,32.23,51.09,半导体,信息产业-半导体,        121.99亿,0.23,14.4,        121.99亿,高纯/超高纯金属材料,14.41,157075,22501.14,51.09,1.86,北京,0.01,3216,14.25,14.42,14.17,14.18,0.79,1.76,14.33,75936,81139,0.94,170,168,--  ,87.64,--  ,--  ,8.47,1.57,3190,49,0.0006,1,-1.57,-18.54,-18.63,-11.54,2.77,         81.63亿,66.91,42.65,1.13,-- -- ,7,12,12,0.49,1.69,-0.07,1.06,1.12,-0.07,1.69,0.56,20220827,19990319,8.47,--  ,--  ,55.9,35.4,2.78,31.69,41.75,9.84,1.11,12.49,17.68,8.23,14.84,74.07,69.75,2.34,0.03,2.33,1.97,1.89,1.83,11.13,-11.23,-4.16,62718,9032,13.01万,33.31,-2.91,3.45,-10.86,1.65,0.59,0.220㈡,4.18,1.75,1.31,-1.33,63.34,   5.35㈡,5.83,3.16,2.66,0.78,2076,600206,--  ,--  ,--  
600207,安彩高科,0,-0.13,7.27,51.36,22.23,供气供热,公用事业-供气供热,         62.74亿,0,7.26,         62.74亿,天然气、管道运输,7.27,108282,7879.17,29.9,1.25,河南,0.01,715,7.32,7.44,7.17,7.27,0.82,3.71,7.28,56744,51538,1.1,393,59,--  ,26.86,--  ,--  ,8.63,-0.05,2985,36,0.0004,0,-11.88,4.91,22.39,7.23,3.51,         22.40亿,35.7,68.37,2.1,-- -- ,8,8,2,0.69,2.34,-1.38,0.14,-0.68,-2.28,1.39,-0.14,20220831,19990714,8.63,--  ,--  ,54.3,19.47,0.97,62.37,20.82,14.36,3.23,23.85,2.7,3.42,28.49,17.5,15.45,0.76,-0.02,0.88,0.66,0.61,0.52,-21.62,0.19,1.52,46938,6564,4.77万,-65.9,7.37,3.22,335.52,3.58,0,0.071㈡,2.26,3.3,-2.5,0.02,35.85,   3.14㈡,11.73,4.33,3.79,0.32,2206,600207,--  ,--  ,--  
600208,新湖中宝,-0.38,-0.37,2.65,10.34,16.32,全国地产,建筑地产-房地产,        227.88亿,-0.01,2.65,        227.85亿,房地产,2.66,269809,7152.76,10.19,0.31,浙江,0.01,4530,2.65,2.66,2.64,2.66,0.73,0.75,2.65,137775,132034,1.04,10991,22288,--  ,114.03,--  ,--  ,85.98,-0.42,2557,106,0.0001,-1,0,3.92,-4.68,-11.07,0.69,        103.32亿,45.34,17.35,0.51,-- -- ,7,11,13,-0.38,0,-0.75,-0.38,0,-0.38,0.38,0,20220831,19990623,85.99,--  ,--  ,1284.04,409.2,7.2,67.57,739.79,3.86,12.06,585.9,492.5,0.46,97.36,50.64,32.69,14.12,13.34,14.13,10.88,11.02,11.61,223.63,4.75,-52.02,105813,36848,9.76万,-45.59,-31.95,0.56,47.95,4.5,0,0.130㈡,4.76,1.13,2.6,0.06,31.87,   2.69㈡,35.44,27.88,21.48,--  ,1555,600208,--  ,--  ,--  
600210,紫江企业,1.36,0,5.22,17.02,37.79,广告包装,社会服务-广告包装,         79.17亿,0.07,5.21,         79.17亿,彩色纸包装印刷,5.22,148604,7718.97,14.31,0.98,上海,0.01,1380,5.15,5.23,5.14,5.15,0.71,1.75,5.19,56821,91783,0.62,1236,84,--  ,50.88,--  ,--  ,15.17,1.31,2511,59,0.0004,1,-5.09,-4.22,-14.43,-41.55,1.33,         58.23亿,73.55,17.37,2.22,-- -- ,9,7,1,0,1.55,-0.19,0.78,1.36,-0.19,1.56,0.58,20220818,19990824,15.17,--  ,--  ,127.79,53.98,4.16,54.51,70.74,24.61,2.52,52.37,23.17,20.69,3.53,46.24,36.74,3.39,0.22,3.28,2.65,2.33,2.3,24.92,-0.37,1.81,91184,12234,6.39万,-29.51,-5.07,1.47,-215.74,1.71,4.79,0.150㈡,3.56,0.23,1.64,-0.02,42.24,   4.31㈡,20.53,7.32,5.73,1.47,6899,600210,--  ,--  ,--  
600211,西藏药业,-0.68,-0.02,34.86,16.48,28.42,中成药,可选消费-医药,         86.43亿,-0.24,34.86,         86.43亿,医药商贸业,34.88,10301,3610.5,41.37,0.42,西藏,0,154,35.1,35.4,34.76,35.1,0.85,1.82,35.05,6327,3974,1.59,253,10,--  ,3.86,--  ,--  ,2.48,-0.73,1488,7,0.0003,-2,-0.54,-10.43,-7.48,-32.99,0.94,         38.13亿,44.12,49.97,0.79,空头排列,4,5,9,0,0.85,-0.97,-0.14,-0.68,-1.53,0.29,-0.54,20220819,19990721,2.48,--  ,--  ,40.47,28.64,0.18,28.79,24.54,4.83,4.17,11.2,1.02,5.16,12.65,13.43,0.72,3.11,0,3.1,2.65,2.62,2.73,12.21,4.75,1.31,57038,1918,6.69万,-12.07,29.41,3.02,18.19,6.43,0.97,1.060㈡,11.55,5.1,4.93,1.92,70.78,   9.16㈡,94.63,23.16,19.74,0.77,733,600211,--  ,--  ,--  
600212,绿能慧充,7.08,-0.11,8.02,--  ,117.83,综合类,综合类-综合类,         41.04亿,0.53,8.02,         41.04亿,电力行业,8.03,229456,18092.74,--  ,4.48,山东,0.01,3715,7.49,8.09,7.49,7.49,0.91,8.01,7.89,94841,134615,0.7,1183,151,--  ,21.12,--  ,--  ,5.12,7.03,2917,79,0.0015,2,4.83,20.06,43.21,96.09,5.2,         35.40亿,86.27,--  ,1,-- -- ,8,6,8,0,8.01,0,5.34,7.08,-0.87,7.08,1.74,20220831,19990817,5.12,--  ,--  ,5.4,2.33,0.06,55.82,3.22,1.04,0.3,2.53,0.26,1.43,4.68,1.18,0.94,-0.04,0,0,-0.01,-0.01,-0.15,-8.5,0.03,0.05,29571,14927,11.97万,-126.04,-1.37,17.64,1509.2,34.65,0,-0.002㈡,0.45,0.91,-1.66,0.01,43.12,  -0.39㈡,20.63,-3.36,-1.01,0.05,466,600212,--  ,--  ,--  
600213,亚星客车,4.72,0.24,8.21,--  ,40.98,汽车整车,可选消费-汽车类,         23.48亿,0.37,8.2,         18.06亿,客车销售,8.21,63563,5117.62,1241.3,2.89,江苏,0,1544,7.9,8.33,7.84,7.84,1.34,6.25,8.05,24515,39048,0.63,536,456,--  ,3.87,--  ,--  ,2.2,4.67,1846,34,0.0016,1,0,-1.56,-1.08,-0.48,5.9,          8.85亿,37.69,--  ,2.41,-- -- ,14,10,8,0.77,6.25,0,2.68,3.92,-1.44,4.72,2.04,20220831,19990831,2.86,--  ,--  ,30.5,2.83,0.7,88.41,27.8,1.8,0.44,21.08,3.52,14.88,6.11,5.23,5.09,-0.72,0,-0.72,-0.72,-0.72,-0.73,-6.65,-1.22,-1.21,34313,3142,2.58万,-86.43,5.84,8.29,-19.21,4.49,0,-0.270㈡,0.99,2.14,-2.33,-0.43,9.28, -25.43㈡,2.64,-13.78,-13.71,0.35,1560,600213,--  ,--  ,--  
600215,派斯林,2.26,0.42,7.24,47.49,41.93,专用机械,装备制造-工业机械,         33.67亿,0.16,7.23,         33.67亿,工业自动化系统集成,7.24,42722,3065.85,25.61,0.92,吉林,0,1222,7.11,7.24,7.06,7.08,0.75,2.54,7.18,16900,25822,0.65,166,316,--  ,2.92,--  ,--  ,4.65,2.21,1090,39,0.0008,1,-0.42,-19.38,1.54,-11.6,1.38,         22.42亿,66.6,46.48,0,KDJ金叉,4,8,10,0.42,2.26,-0.28,1.41,1.83,0,2.55,0.85,20220822,19990909,4.65,--  ,--  ,32.78,14.66,--  ,55.28,14.86,3.57,0.38,11.76,9.61,1.45,3.27,4.82,3.93,0.37,0.05,0.37,0.35,0.35,0.32,6.05,1.03,-0.1,30716,10082,7.30万,-62.47,-37.21,2.3,32.79,6.98,0.59,0.080㈡,3.15,0.7,1.3,0.22,44.72,   2.42㈡,18.56,7.63,7.35,--  ,558,600215,--  ,--  ,--  
600216,浙江医药,0.43,0,14.13,17.46,29.89,化学制药,可选消费-医药,        136.37亿,0.06,14.13,        135.41亿,维生素E系列,14.14,108953,15393.06,13.05,1.14,浙江,0,836,14.09,14.24,14.01,14.07,0.4,1.63,14.13,54410,54543,1,189,171,--  ,21.28,--  ,--  ,9.58,0.38,3297,33,0.0003,1,-4.33,5.06,8.53,-15.64,1.82,         84.64亿,62.06,14.69,1.55,阶段放量,8,3,11,0.14,1.21,-0.43,0.43,0.28,-0.77,0.86,0,20220826,19991021,9.65,--  ,--  ,123.3,88.7,3.19,25.48,56.09,48.75,7.8,27.75,21.55,14.27,17.12,41.18,25.89,4.18,0.07,4.1,3.12,3.91,3.81,47.61,-0.08,-4.03,69214,8654,12.23万,-23.06,-10.83,1.54,-1641.03,3.31,2.34,0.410㈡,9.19,1.77,4.93,-0.01,71.93,   4.40㈡,37.13,10.16,7.58,3.55,5901,600216,--  ,--  ,--  
600217,中再资环,0.2,-0.19,5,55.07,28.74,环境保护,公用事业-环境保护,         69.43亿,0.01,5,         69.43亿,废电拆解物,5.01,102642,5113.24,22.46,0.74,陕西,0,844,5.01,5.03,4.94,4.99,0.59,1.8,4.98,61001,41641,1.46,437,3041,--  ,0.45,--  ,--  ,13.89,0.15,1657,62,0.0004,1,-2.92,4.82,0.2,-33.86,1.45,         35.49亿,51.11,35.3,1.02,平台整理,2,5,9,0.4,0.8,-1,-0.2,-0.2,-0.6,1.21,0.4,20220830,19991216,13.89,--  ,--  ,79.9,24.64,0.13,68.99,69.53,5.66,1.56,24.86,2.64,49.83,0,16.75,13.65,0.37,0.01,0.43,0.63,0.63,0.57,16.04,-1.83,3.36,38772,18307,9.15万,-64.08,2.12,2.82,-37.95,4.15,0.2,0.045㈡,1.77,0,1.15,-0.13,30.84,   2.56㈡,18.48,2.21,3.77,--  ,2950,600217,--  ,--  ,--  
600218,全柴动力,0.93,0.1,9.74,31.97,22.5,农用机械,装备制造-工业机械,         42.43亿,0.09,9.73,         40.19亿,内燃机业务,9.74,78746,7648.69,27.89,1.91,安徽,0.01,1122,9.67,9.81,9.57,9.65,0.3,2.49,9.71,34951,43795,0.8,1228,1092,--  ,28.53,--  ,--  ,4.13,0.89,2008,39,0.001,1,-9.23,-14.49,3.4,-31.65,2.75,         27.87亿,65.68,40.36,1.57,-- -- ,10,10,11,0.21,1.66,-0.83,0.62,0.72,-0.71,1.78,0.31,20220826,19981203,4.36,--  ,--  ,60.04,30.65,0.59,47.97,46.86,8.23,0.52,27.03,7.1,13.19,17.17,28.37,25.89,0.74,0.12,0.81,0.62,0.66,0.34,7.2,-0.14,-1.83,60978,4692,4.57万,-41.46,5.16,1.38,-313.14,1.5,1.08,0.150㈡,7.04,3.94,1.65,-0.03,51.06,   2.16㈡,8.73,2.61,2.2,0.8,2878,600218,--  ,--  ,--  
600219,南山铝业,-0.89,0.3,3.34,10.93,10.96,铝,材料-有色,        399.15亿,-0.03,3.33,        399.15亿,冷轧卷/板,3.34,673707,22507.87,11.7,0.56,山东,0,10930,3.38,3.39,3.32,3.37,0.68,2.08,3.34,377573,296134,1.28,44368,84,--  ,71.83,--  ,--  ,119.5,-0.94,4135,163,0.0001,-4,-5.92,-3.47,-7.22,-28.17,0.99,        226.61亿,56.77,10.7,1.62,-- -- ,4,5,11,0.3,0.59,-1.48,-0.89,-1.18,-1.47,0.6,0,20220826,19991223,119.5,--  ,--  ,662.59,438.07,48.04,26.64,337.95,265.69,23.11,170.3,67.54,36,165.7,179.1,141.62,22.22,0.31,22.07,20.74,18.26,17.99,143.91,28.98,15.45,233162,29099,9.72万,21.17,42.82,0.91,13.77,2.23,1.87,0.150㈡,3.67,1.39,1.2,0.24,66.11,   4.17㈡,20.93,12.41,11.58,8.38,18746,600219,--  ,--  ,--  
600220,江苏阳光,1.13,-0.27,3.59,63.24,21.22,纺织,日常消费-纺织服饰,         64.02亿,0.04,3.59,         64.02亿,面料,3.6,290038,10400.18,55.68,1.63,江苏,0.01,3856,3.59,3.64,3.52,3.55,0.58,3.38,3.59,131748,158290,0.83,2708,3773,--  ,54.71,--  ,--  ,17.83,1.08,3170,91,0.0005,2,-3.5,15.43,13.25,35.98,2.47,         42.11亿,65.77,40.14,1.28,-- -- ,8,2,8,1.13,2.54,-0.85,1.13,0,-1.37,1.99,0,20220826,19990927,17.83,--  ,--  ,49.12,20.88,2.48,52.45,26.27,16.61,2.22,25.4,10.01,9.43,0,8.94,6.93,0.49,0.04,0.48,0.44,0.51,0.41,3.75,-2.55,-3.52,114891,10209,3.66万,726.49,9.55,3.07,-25.07,7.16,0.56,0.028㈡,1.17,0,0.21,-0.14,42.51,   2.42㈡,22.51,5.47,4.93,0.05,4549,600220,--  ,--  ,--  
600221,ST海航,2.67,0.65,1.54,--  ,--  ,空运,交通运输-运输服务,        511.94亿,0.04,1.53,        506.24亿,航空客运收入,1.54,694380,10629.26,10.84,0.21,海南,0.02,17404,1.53,1.54,1.52,1.5,1.3,1.33,1.53,348667,345713,1.01,9503,156297,--  ,727.18,--  ,--  ,328.73,2.62,1709,406,0.0001,1,1.31,17.56,-6.1,-17.2,0.35,        304.61亿,59.5,--  ,0.88,-- -- ,3,11,11,2,2.67,1.33,2,0.65,0,1.32,0.67,20220831,19991125,332.43,3.69,--  ,1326.29,-42.2,16.88,101.91,193.6,425.71,13.19,258.54,14.49,11.18,347.06,110.76,167.09,-137.65,0.17,-136.49,-136.46,-128.37,-122.15,-638.32,-26.27,-1.95,393514,51203,7.89万,-1357.29,-39.59,-12.13,-19.49,4.62,0,-0.386㈡,-0.13,1.04,-1.92,-0.08,-3.18,--  ,-50.86,-124.28,-123.2,0.08,36892,600221,--  ,--  ,--  
600222,太龙药业,0,0.18,5.49,--  ,28.42,中成药,可选消费-医药,         31.51亿,0,5.49,         31.51亿,中药饮片,5.5,33615,1848.7,525.51,0.59,河南,0,1229,5.5,5.58,5.45,5.49,0.84,2.37,5.5,18279,15336,1.19,805,2060,--  ,4.29,--  ,--  ,5.74,-0.05,1709,20,0.0003,0,-0.73,-3.68,-10.59,-38.8,0.83,         22.34亿,70.9,--  ,0.8,-- -- ,2,5,13,0.18,1.64,-0.73,0.18,-0.18,-1.61,0.73,-0.18,20220820,19991105,5.74,--  ,--  ,35.33,16.61,1.48,48.8,17.21,4.64,0.51,15.51,3.69,6.91,6.75,8.64,6.53,-0.11,0,-0.23,-0.24,-0.25,-0.15,1.5,-0.66,-2.25,41394,9830,5.40万,-193.56,14.87,1.9,-47.46,3.65,0.18,-0.050㈡,2.89,1.18,0.26,-0.12,47.02,  -1.53㈡,24.45,-1.28,-2.8,0.45,2209,600222,--  ,--  ,--  
600223,鲁商发展,0.22,0,9.21,24.56,--  ,区域地产,建筑地产-房地产,         92.94亿,0.02,9.21,         92.94亿,房地产及物业,9.22,63667,5852.53,25.68,0.63,山东,0.01,596,9.24,9.3,9.12,9.19,0.76,1.96,9.19,26862,36805,0.73,28,397,--  ,29.28,--  ,--  ,10.09,0.17,1799,35,0.0004,4,0.99,1.43,1.32,-29.91,1.31,         44.61亿,48,38.73,0.98,KDJ金叉,5,5,11,0.54,1.2,-0.76,0,-0.32,-0.97,0.99,0.22,20220831,20000113,10.09,--  ,--  ,617.31,46.2,17.75,89.64,589.08,12.51,2.04,523.64,483.45,3.55,6.17,48.35,33.41,3,0.59,2.92,2.06,1.89,1.9,20.56,8.88,2.47,55451,8736,8.05万,-39.18,18.88,2.4,10.46,1.92,1.19,0.190㈡,3.84,0.61,2.04,0.88,7.48,   4.09㈡,30.91,6.21,4.26,0.55,4614,600223,--  ,--  ,--  
600225,天津松江,0.59,-0.28,3.43,--  ,--  ,区域地产,建筑地产-房地产,        117.01亿,0.02,3.43,        116.92亿,软件信息服务,3.44,77730,2660.04,15.03,0.23,天津,0.01,985,3.43,3.45,3.39,3.41,0.83,1.76,3.42,37497,40233,0.93,1552,962,--  ,28.67,--  ,--  ,34.09,0.54,1299,60,0.0002,1,-1.72,-4.72,12.83,8.89,0.8,         33.32亿,28.48,10.78,0.58,KDJ金叉,10,6,12,0.59,1.17,-0.59,0.29,0,-0.58,1.18,0.29,20220826,20000127,34.11,--  ,--  ,64.39,15.6,4.76,68.38,32.87,9.45,1.58,39.64,15.11,5.3,35.08,2.15,0.99,-0.47,-0.14,-0.82,-0.88,-0.76,-0.14,-51.73,-1.28,1.03,20201,48089,16.49万,80.06,28.25,7.5,-91.6,54.46,0,-0.020㈡,0.46,1.03,-1.52,-0.04,24.22,  -4.90㈡,53.73,-21.65,-40.97,0.4,730,600225,--  ,--  ,--  
600226,ST瀚叶,0.36,0,2.76,10.81,34.07,互联网,信息产业-互联网,         85.98亿,0.01,2.75,         85.98亿,电与蒸汽,2.76,76799,2115.89,22.93,0.25,浙江,0,504,2.74,2.78,2.74,2.75,0.56,1.45,2.76,40125,36674,1.09,3556,3086,--  ,8.77,--  ,--  ,31.15,0.32,433,177,0.0006,2,1.09,12.65,30.81,17.95,0.39,         54.44亿,63.32,14.44,0.83,-- -- ,12,8,11,-0.36,1.09,-0.36,0.36,0.73,-0.72,0.73,0,20220830,19991116,31.15,--  ,--  ,33.4,30.09,0,9.92,12.26,3.76,0.31,2.15,0.86,0.57,3.1,3.12,2.68,4.37,4.43,4.37,3.98,3.98,0.89,-2.23,-0.15,4.37,38936,50657,13.98万,124.28,-4.69,2.86,-574.57,27.53,0,0.130㈡,0.97,0.1,-0.07,0,90.07,  13.22㈡,14.14,139.83,127.32,0.08,566,600226,--  ,--  ,--  
600227,圣济堂,1.53,0,3.31,--  ,8.73,农药化肥,材料-化工,         56.04亿,0.05,3.31,         42.31亿,尿素,3.32,173158,5764.83,--  ,1.35,贵州,0.01,2929,3.27,3.43,3.27,3.26,0.48,4.91,3.33,76797,96361,0.8,92,2329,--  ,22.96,--  ,--  ,12.78,1.49,1934,90,0.0007,1,-5.7,11.45,5.41,-12.66,1.62,         35.37亿,63.11,--  ,0.83,阶段放量,12,5,10,0.31,5.21,0.31,2.15,1.22,-3.5,1.22,-0.61,20220823,20000221,16.93,--  ,--  ,47.44,30.7,0.03,35.22,16.51,19.02,3.57,13.13,3.48,6.73,25.84,13.79,12.18,-1.03,0,-1.06,-0.97,-0.96,-1.01,-15.18,1.98,0.76,60549,17646,5.84万,-216.48,33.6,1.83,28.32,4.07,0,-0.057㈡,1.81,1.53,-0.9,0.12,64.71,  -3.12㈡,11.68,-7.44,-7.06,0.56,1227,600227,--  ,--  ,--  
600228,返利科技,0.15,0.15,6.56,401.52,34.07,互联网,信息产业-互联网,         54.01亿,0.01,6.55,         15.83亿,导购服务,6.56,51019,3360.89,63.17,2.11,江西,0.01,618,6.53,6.75,6.46,6.55,0.71,4.43,6.59,27740,23279,1.19,303,368,--  ,15.08,--  ,--  ,2.41,0.11,1296,39,0.0016,1,0.46,5.13,-0.15,-5.2,2.84,         11.78亿,21.81,103.93,0.89,EXPMA金叉,5,5,9,-0.31,3.05,-1.37,0.61,0.46,-2.81,1.55,-0.46,20220831,19990119,8.23,--  ,--  ,14.91,8.85,--  ,40.68,13.83,0.02,0,5.77,0,1.16,-1.88,1.67,0.66,0.07,0,0.07,0.07,0.07,0.06,1.98,0.18,-1.12,17557,10229,6.71万,-83.29,-22.76,6.1,293.86,32.32,0,0.008㈡,1.07,-0.23,0.24,0.02,59.32,   0.76㈡,60.57,4.3,4.03,0.19,365,600228,--  ,--  ,--  
