code,code,decimal_point,name,pre_close,sec,sse,volunit
399050,399050,2,创新引擎,2471.0026855469,index_cn,sz,100
399088,399088,2,深创100,3112.3483886719,index_cn,sz,100
399100,399100,2,新 指 数,7893.1796875,index_cn,sz,100
399101,399101,2,中小板综,9807.4130859375,index_cn,sz,100
399102,399102,2,创业板综,2253.6650390625,index_cn,sz,100
399103,399103,2,乐富指数,6276.6323242188,index_cn,sz,100
399106,399106,2,深证综指,1730.7421875,index_cn,sz,100
399107,399107,2,深证Ａ指,1811.0322265625,index_cn,sz,100
399108,399108,2,深证Ｂ指,823.7258911133,index_cn,sz,100
399231,399231,2,农林指数,1661.6590576172,index_cn,sz,100
399232,399232,2,采矿指数,1658.2878417969,index_cn,sz,100
399233,399233,2,制造指数,2006.6729736328,index_cn,sz,100
399234,399234,2,水电指数,607.2551269531,index_cn,sz,100
399235,399235,2,建筑指数,1017.8629150391,index_cn,sz,100
399236,399236,2,批零指数,1348.4248046875,index_cn,sz,100
399237,399237,2,运输指数,1059.6196289062,index_cn,sz,100
399238,399238,2,餐饮指数,1017.3198852539,index_cn,sz,100
399239,399239,2,IT指数,1864.8813476562,index_cn,sz,100
399240,399240,2,金融指数,1038.5185546875,index_cn,sz,100
399241,399241,2,地产指数,2342.9504394531,index_cn,sz,100
399242,399242,2,商务指数,998.8756103516,index_cn,sz,100
399243,399243,2,科研指数,1940.8143310547,index_cn,sz,100
399244,399244,2,公共指数,756.6380004883,index_cn,sz,100
399248,399248,2,文化指数,909.1530151367,index_cn,sz,100
399249,399249,2,综企指数,718.8547973633,index_cn,sz,100
399282,399282,2,大数据50,4595.244140625,index_cn,sz,100
399283,399283,2,机器人50,2291.8854980469,index_cn,sz,100
399284,399284,2,AI 50,3094.5834960938,index_cn,sz,100
399285,399285,2,物联网50,3238.8159179688,index_cn,sz,100
399286,399286,2,区块链50,3189.3369140625,index_cn,sz,100
399290,399290,2,深转交债,133.2991943359,index_cn,sz,100
399291,399291,2,创精选88,3188.4226074219,index_cn,sz,100
399292,399292,2,民企发展,1112.7227783203,index_cn,sz,100
399293,399293,2,创业大盘,3786.2390136719,index_cn,sz,100
399294,399294,2,中小创Q,2808.5378417969,index_cn,sz,100
399295,399295,2,创业蓝筹,4602.5883789062,index_cn,sz,100
399296,399296,2,创成长,3950.7434082031,index_cn,sz,100
399297,399297,2,新浪100,3012.4768066406,index_cn,sz,100
399298,399298,2,深信中高,175.083404541,index_cn,sz,100
399299,399299,2,深信中低,192.0986022949,index_cn,sz,100
399300,399300,2,沪深300,3867.0319824219,index_cn,sz,100
399301,399301,2,深信用债,178.0605010986,index_cn,sz,100
399302,399302,2,深公司债,182.2467041016,index_cn,sz,100
399303,399303,2,国证2000,6084.1923828125,index_cn,sz,100
399306,399306,2,深证ETF,1262.7071533203,index_cn,sz,100
399307,399307,2,深证转债,242.591003418,index_cn,sz,100
399310,399310,2,国证A50,6100.802734375,index_cn,sz,100
399311,399311,2,国证1000,3856.349609375,index_cn,sz,100
399312,399312,2,国证300,4390.1000976562,index_cn,sz,100
399313,399313,2,巨潮100,4585.7275390625,index_cn,sz,100
399314,399314,2,巨潮大盘,4086.6765136719,index_cn,sz,100
399315,399315,2,巨潮中盘,3846.4309082031,index_cn,sz,100
399316,399316,2,巨潮小盘,4035.146484375,index_cn,sz,100
399317,399317,2,国证Ａ指,4435.072265625,index_cn,sz,100
399318,399318,2,国证Ｂ指,3219.0632324219,index_cn,sz,100
