code,code,volunit,decimal_point,name,pre_close,sse,sec
399440,399440,100.0,2.0,国证钢铁,1050.5771484375,sz,index_cn
399441,399441,100.0,2.0,生物医药,4189.1298828125,sz,index_cn
399481,399481,100.0,2.0,企债指数,128.9306030273,sz,index_cn
399550,399550,100.0,2.0,央视50,6990.6865234375,sz,index_cn
399551,399551,100.0,2.0,央视创新,7399.529296875,sz,index_cn
399552,399552,100.0,2.0,央视成长,7634.6557617188,sz,index_cn
399553,399553,100.0,2.0,央视回报,6142.7104492188,sz,index_cn
399554,399554,100.0,2.0,央视治理,6878.9506835938,sz,index_cn
399555,399555,100.0,2.0,央视责任,4346.7890625,sz,index_cn
399556,399556,100.0,2.0,央视生态,1585.7443847656,sz,index_cn
399557,399557,100.0,2.0,央视文化,1619.3643798828,sz,index_cn
399602,399602,100.0,2.0,中小成长,1172.2410888672,sz,index_cn
399604,399604,100.0,2.0,中小价值,1441.1214599609,sz,index_cn
399606,399606,100.0,2.0,创业板R,2143.1064453125,sz,index_cn
