,代码,名称,最新价,涨跌额,涨跌幅,昨收,今开,最高,最低,成交量,成交额
229,sh000993,全指信息,6224.9163,110.673,1.81,6114.2435,6130.8787,6226.5378,6125.443,40691452,57845306306
230,sh000998,中证TMT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
231,sz399001,深证成指,13733.913,312.751,2.33,13421.162,13493.357,13753.398,13493.357,23343781547,289020025846
232,sz399002,深成指R,17048.949,388.24,2.33,16660.709,16750.33,17073.139,16750.33,8864493716,163447562838
233,sz399003,成份Ｂ指,7284.011,52.762,0.73,7231.249,7215.075,7296.521,7183.531,7394793,37912879
234,sz399004,深证100R,8584.919,236.492,2.833,8348.427,8410.673,8598.079,8410.673,3109244650,90498574919
235,sz399005,中小板指,8935.299,224.178,2.573,8711.121,8756.047,8950.553,8753.106,10250371951,115998703088
236,sz399006,创业板指,2738.663,82.664,3.112,2655.999,2672.909,2743.375,2672.909,5435532650,101145388100
237,sz399007,深证300,6025.836,144.284,2.453,5881.552,5916.445,6035.212,5916.445,6649716589,138932028533
238,sz399008,中小300,1642.393,34.874,2.169,1607.519,1613.845,1644.603,1613.845,4806554136,71537237694
239,sz399009,深证200,4831.932,72.718,1.528,4759.214,4769.778,4840.374,4769.778,3540471939,48433453615
240,sz399010,深证700,6589.029,89.554,1.378,6499.475,6503.979,6592.775,6502.886,7343920485,64884473998
241,sz399011,深证1000,6270.415,133.516,2.176,6136.899,6165.007,6278.161,6165.007,13993637074,203816502531
242,sz399012,创业300,3586.274,95.625,2.739,3490.649,3509.134,3591.451,3509.134,2539355432,61724233274
243,sz399013,深市精选,5970.007,117.224,2.003,5852.783,5881.173,5978.816,5881.054,5293812382,103226098190
244,sz399015,中小创新,2105.936,26.814,1.29,2079.122,2079.129,2107.047,2078.16,5129143358,40368939693
245,sz399016,深证创新,4189.202,86.086,2.098,4103.116,4119.83,4192.757,4118.967,1273472844,44938073809
246,sz399017,SME创新,3604.675,72.623,2.056,3532.052,3540.55,3607.094,3539.921,1833173847,33755717053
247,sz399018,创业创新,4272.506,83.492,1.993,4189.014,4203.757,4276.572,4203.757,600295327,28030300847
248,sz399050,创新引擎,3233.694,73.77,2.335,3159.924,3178.065,3237.682,3178.065,1521137943,27375886976
249,sz399088,深创100,4410.251,131.937,3.084,4278.314,4309.958,4416.274,4309.958,2482741932,71654660182
250,sz399100,新 指 数,10061.985,200.22,2.03,9861.765,9898.114,10072.892,9898.114,22360238147,281490841351
251,sz399101,中小板综,12198.494,225.779,1.886,11972.715,12005.417,12211.908,12005.417,10250371951,115998703088
252,sz399102,创业板综,2853.85,68.562,2.462,2785.288,2796.171,2857.164,2796.171,5435532650,101145388100
253,sz399103,乐富指数,7972.339,140.693,1.796,7831.646,7854.561,7976.097,7854.561,5522893547,8310718085
254,sz399106,深证综指,2210.453,44.053,2.033,2166.4,2174.189,2212.656,2174.189,23343781547,289020025846
255,sz399107,深证Ａ指,2312.878,46.14,2.036,2266.738,2274.904,2315.187,2274.904,23328315123,288955665445
256,sz399108,深证Ｂ指,1105.994,8.527,0.777,1097.467,1096.744,1106.71,1094.062,15466424,64360401
257,sz399231,农林指数,1727.083,-11.828,-0.68,1738.911,1742.587,1742.587,1712.792,448542930,5132584662
258,sz399232,采矿指数,1885.943,6.105,0.325,1879.838,1871.686,1891.842,1870.257,348065952,1938731139
259,sz399233,制造指数,2697.414,65.067,2.472,2632.347,2644.86,2700.181,2644.86,12997692162,190999949583
260,sz399234,水电指数,863.741,34.578,4.17,829.163,829.489,866.928,829.489,2007129744,14475869498
261,sz399235,建筑指数,1104.546,14.443,1.325,1090.103,1086.331,1105.315,1085.258,719261257,3440485167
262,sz399236,批零指数,1421.451,11.796,0.837,1409.655,1409.966,1422.773,1409.966,401442435,4636846450
263,sz399237,运输指数,1382.45,5.38,0.391,1377.07,1378.812,1392.219,1364.02,133595821,2274972667
264,sz399238,餐饮指数,1047.967,1.635,0.156,1046.332,1041.991,1061.438,1035.04,52339721,230990560
265,sz399239,IT指数,1672.97,17.74,1.072,1655.23,1655.566,1675.003,1653.224,1965000104,20983021679
266,sz399240,金融指数,1373.552,17.515,1.292,1356.037,1360.357,1376.431,1359.012,671669006,10892608066
267,sz399241,地产指数,2479.756,9.788,0.396,2469.968,2475.854,2493.402,2475.854,507341062,3735482331
268,sz399242,商务指数,1289.326,21.025,1.658,1268.301,1275.19,1307.119,1273.368,498231478,3918455839
269,sz399243,科研指数,2423.125,37.622,1.577,2385.503,2388.036,2432.1,2380.626,349999803,5184838206
270,sz399244,公共指数,806.027,13.472,1.7,792.555,793.512,808.758,789.909,810840743,6628787686
271,sz399248,文化指数,991.093,7.558,0.768,983.535,982.022,995.65,982.022,230007168,2072943023
272,sz399249,综企指数,943.865,22.966,2.494,920.899,924.259,948.069,921.685,42409807,347800170
273,sz399269,创质量,5828.402,164.709,2.908,5663.693,5693.24,5841.47,5693.24,559180641,24751645611
274,sz399275,创医药,6062.832,156.875,2.656,5905.957,5948.865,6082.008,5928.5,271690636,13937936836
275,sz399276,创科技,6053.887,207.053,3.541,5846.834,5893.603,6064.488,5893.467,429395140,22077413386
276,sz399277,公共健康,3559.152,63.401,1.814,3495.751,3506.795,3563.716,3500.032,384515243,12583594423
277,sz399278,长江100,2402.972,64.339,2.751,2338.633,2351.708,2407.377,2351.708,2135567285,52680082981
278,sz399279,云科技50,3167.391,74.033,2.393,3093.358,3106.623,3171.625,3103.836,595494898,14403875961
279,sz399280,生物50,4678.679,101.964,2.228,4576.715,4603.84,4688.444,4596.769,272692054,11655060798
280,sz399281,电子50,3562.476,91.523,2.637,3470.953,3493.822,3564.279,3488.644,1239005551,16412768344
281,sz399282,大数据50,4559.242,86.383,1.931,4472.859,4491.079,4569.416,4489.673,771300530,11982859566
282,sz399283,机器人50,3309.105,81.756,2.533,3227.349,3232.706,3311.19,3232.706,357001385,6345124775
283,sz399284,AI 50,3407.936,78.893,2.37,3329.043,3336.013,3412.641,3327.977,565186661,11352907458
284,sz399285,物联网50,3973.15,100.854,2.605,3872.296,3895.915,3982.311,3895.915,768732598,16636137345
285,sz399286,区块链50,3586.823,37.43,1.055,3549.393,3552.043,3594.67,3549.402,1314255561,17754403563
286,sz399290,深转交债,143.404,1.194,0.84,142.21,142.372,143.459,142.372,36986144,4667494091
287,sz399291,创精选88,3311.603,30.1,0.917,3281.503,3282.37,3314.951,3276.729,603378879,7594972816
288,sz399292,民企发展,1119.741,12.999,1.175,1106.742,1105.921,1120.422,1105.789,3568562211,23870488160
289,sz399293,创业大盘,5361.479,179.163,3.457,5182.316,5223.159,5372.047,5222.505,682135626,37304235515
290,sz399294,中小创Q,4162.33,84.433,2.071,4077.897,4101.063,4172.461,4096.474,897814347,22670927939
291,sz399295,创业蓝筹,6011.246,120.343,2.043,5890.903,5923.035,6019.741,5911.305,349711203,17723830683
292,sz399296,创成长,6037.965,216.561,3.72,5821.404,5877.722,6051.135,5877.263,628452387,36097404898
293,sz399297,新浪100,3415.758,35.72,1.057,3380.038,3381.165,3418.0,3372.82,815858663,5012463549
294,sz399298,深信中高,180.799,0.008,0.004,180.791,180.811,180.815,180.797,523180,50574365
295,sz399299,深信中低,203.777,-0.17,-0.083,203.947,203.977,203.977,203.762,160600,15838897
296,sz399300,沪深300,5025.558,99.211,2.014,4926.347,4953.945,5032.449,4953.945,9589229200,182231333170
297,sz399301,深信用债,183.996,0.009,0.005,183.987,184.008,184.012,183.994,523180,50574365
298,sz399302,深公司债,188.179,-0.001,-0.001,188.18,188.201,188.205,188.176,323180,30442365
299,sz399303,国证2000,6945.088,94.317,1.377,6850.771,6851.64,6948.575,6851.64,14574824686,123571901051
300,sz399306,深证ETF,1589.256,29.707,1.905,1559.549,1564.259,1590.197,1564.259,5044433145,7672000492
301,sz399307,深证转债,257.134,2.123,0.833,255.011,255.355,257.209,255.355,78711712,11188625883
302,sz399310,国证A50,8612.094,187.066,2.22,8425.028,8484.296,8628.597,8481.549,2113907705,78015069028
303,sz399311,国证1000,4922.799,93.573,1.938,4829.226,4851.583,4928.887,4851.583,20353408811,304947580080
304,sz399312,国证300,5796.349,126.878,2.238,5669.471,5702.764,5804.813,5702.764,8066831772,188024995113
305,sz399313,巨潮100,6070.915,115.396,1.938,5955.519,5992.382,6081.458,5991.721,3975030544,105198097977
306,sz399314,巨潮大盘,5410.382,110.213,2.079,5300.169,5331.937,5418.491,5331.937,7595457699,156966122219
307,sz399315,巨潮中盘,4598.871,76.989,1.703,4521.882,4533.474,4602.793,4533.474,5149404241,72940165227
308,sz399316,巨潮小盘,4867.284,79.654,1.664,4787.63,4795.983,4872.8,4795.983,7608546871,75041292634
