,ma20,ma40,ma60,ma80,bias_cdl_b,bias_cdl_l,min,max,band
100,4908.95,4879.9,4856.95,4840.2375,6.30183766013826,6.301837660138256,6.301837660138256,4908.95,4902.648162339861
101,4911.6,4882.4,4859.4,4842.0375,6.761150633933315,6.278409117971808,6.278409117971808,4911.6,4905.321590882028
102,4914.35,4884.625,4861.766666666666,4843.8,6.708007783317836,6.183807377676838,6.183807377676838,4914.35,4908.166192622323
103,4916.35,4886.975,4863.716666666666,4845.4625,7.441703257213438,5.8543730843298905,5.8543730843298905,4916.35,4910.49562691567
104,4919.0,4889.45,4865.766666666666,4847.15,7.205809060093554,5.843574969233526,5.843574969233526,4919.0,4913.1564250307665
105,4921.0,4891.675,4867.716666666666,4848.75,7.349185418520171,5.974507246803307,5.974507246803307,4921.0,4915.025492753197
106,4922.6,4893.775,4869.683333333333,4850.35,7.204530738215693,6.138746657609822,6.138746657609822,4922.6,4916.461253342391
107,4924.85,4896.25,4872.016666666666,4852.2,7.742398649133568,6.079300513779696,6.079300513779696,4924.85,4918.770699486221
108,4927.85,4898.9,4874.416666666667,4854.225,7.448772417406496,6.100043140485929,6.100043140485929,4927.85,4921.749956859514
109,4930.6,4901.6,4877.016666666666,4856.325,7.199963450199629,6.014018710698491,6.014018710698491,4930.6,4924.585981289302
110,4933.75,4904.55,4879.766666666666,4858.45,7.278483069257887,5.981330603592619,5.981330603592619,4933.75,4927.768669396407
111,4936.45,4907.375,4882.25,4860.3875,7.604707683229411,5.952443107444908,5.952443107444908,4936.45,4930.497556892555
112,4938.95,4910.225,4884.666666666667,4862.4375,7.388468967533838,5.946029192485915,5.946029192485915,4938.95,4933.003970807514
113,4941.15,4912.95,4887.283333333334,4864.6875,6.904613255681039,4.259972819285657,4.259972819285657,4941.15,4936.890027180714
114,4943.95,4915.975,4889.866666666667,4867.075,7.330541733409828,4.259972819285657,4.259972819285657,4943.95,4939.690027180714
