,ma12_ratio,ma23_ratio,ma13_ratio,ma_category
247,1.0012915761545074,1.0035459196529948,1.0048420756327718,4.0
248,1.0011738259053993,1.0034227196567151,1.0046005632391144,4.0
249,1.0011623177196742,1.0033507494618519,1.0045169618169996,4.0
250,1.0012953193203362,1.0033606864863034,1.004660358968775,4.0
251,1.001381093118188,1.0033603900671366,1.0047461241969207,4.0
252,1.0016033327860459,1.003445086546141,1.0050539429523973,4.0
253,1.00157110612897,1.003412624833072,1.004989092557833,4.0
254,1.001265552780534,1.0032289360852489,1.0044985752548237,4.0
255,1.0011368376465228,1.0031159241418486,1.0042563040882395,4.0
256,1.0010330319448821,1.0030077766178982,1.0040439156921097,4.0
257,1.000806474045193,1.0028266123022225,1.0036353659368729,4.0
258,1.0006441699687008,1.0026640775960423,1.0033099636835248,4.0
259,1.000544469118848,1.0025259233287722,1.0030717677348695,4.0
260,1.0004618141721127,1.0023933927901871,1.0028563122650098,4.0
261,1.0004643248159282,1.0023053776128392,1.002770772872803,4.0
262,1.000596465247939,1.0022937642137462,1.0028915976123256,4.0
263,1.0006999822226053,1.0022832771337038,1.002984857609712,4.0
264,1.0007953875436104,1.002281569107853,1.0030787713831117,4.0
265,1.0008827089035865,1.002287137346434,1.0031718651265198,4.0
266,1.0007771221861719,1.002197661194949,1.002976491232393,4.0
267,1.000741293041912,1.002138894522783,1.0028817731123219,4.0
268,1.0006688404244783,1.0020593668775772,1.0027295846898723,4.0
269,1.000558920251685,1.0019554406221436,1.002515453809193,4.0
270,1.0004831123593982,1.0018631200337107,1.0023471324894242,4.0
271,1.0005181123005027,1.0018276861266902,1.0023467453738566,4.0
272,1.000443161089083,1.0017386541225108,1.0021825857154483,4.0
273,1.0003231922563907,1.0016213848308655,1.001945101106278,4.0
274,1.0003178367416734,1.0015592310837955,1.001877563406396,4.0
275,1.0003200839756952,1.0015043541638393,1.0018249196591964,4.0
276,1.0003132532073327,1.0014481324176774,1.0017618392571344,4.0
277,1.0003003725160315,1.0013911984361517,1.0016919888299578,4.0
278,1.0002836776944644,1.0013340813646876,1.0016181375082776,4.0
279,1.0002221019043585,1.0012539251445414,1.0014763055480624,4.0
280,1.0002452066232974,1.0012173704625504,1.0014628755931483,4.0
281,1.0003115686799104,1.0012094392515334,1.0015213847548348,4.0
282,1.0006191847514139,1.0013416965203508,1.001961712029791,4.0
283,1.0012399964429985,1.001674318444282,1.0029163910361958,4.0
284,1.0014767542387286,1.0018524816612866,1.0033319715601607,4.0
285,1.0016286534943735,1.0020022474116597,1.0036341618732765,4.0
286,1.0015767112677538,1.0020500006593926,1.003629944186285,4.0
287,1.0016839087255522,1.0021754829182292,1.0038630549584497,4.0
288,1.0016849203912668,1.002248344857028,1.0039370535303909,4.0
289,1.001839508625236,1.0024008172698047,1.004244742219116,4.0
290,1.0017982339102187,1.0024557763513178,1.0042584263218473,4.0
291,1.0013834096986725,1.0022982863475964,1.0036848755178926,4.0
292,1.0013313514587963,1.0022981549130585,1.0036325660237508,4.0
293,1.0011759206328863,1.0022352521046158,1.0034138012165716,4.0
294,1.0010667949125043,1.0021825916741922,1.0032517149643907,4.0
295,1.0009215791009636,1.0021001847336926,1.003023699321015,4.0
296,1.000882686713045,1.002063211926466,1.0029477198092647,4.0
297,1.0006773348087015,1.001932905429126,1.0026115494619565,4.0
298,1.000462104120853,1.0017802340378779,1.0022431608122158,4.0
299,1.0003164536519256,1.0016487211512288,1.0019656965469836,4.0
300,1.0001799076931623,1.001512517205092,1.0016926970117355,4.0
301,1.0001805800059673,1.0014428949361833,1.0016237355001267,4.0
302,1.0001763188825004,1.0013748942520442,1.0015514555543625,4.0
303,1.000239547836281,1.001347327348189,1.0015871979338211,4.0
304,1.0001634519608047,1.0012530956127408,1.0014167523944804,4.0
305,1.0001494155715844,1.0011892181526894,1.0013388114119839,4.0
306,1.0001783332487304,1.0011509512376844,1.0013294897392881,4.0
307,1.0001652096678404,1.0010955805087227,1.0012609711770553,4.0
308,1.0003075205114917,1.0011267801235049,1.0014346471429967,4.0
309,1.0005667734808077,1.0012371720351414,1.00180464671225,4.0
310,1.0007297150226067,1.001319773132539,1.0020504512134267,4.0
311,1.0008364747083633,1.0013864742071383,1.0022241086661097,4.0
312,1.0007183239393438,1.0013393063827793,1.0020585923779601,4.0
313,1.0006749599537954,1.0013214894792257,1.001997341385499,4.0
314,1.0004297862426432,1.001189358134039,1.0016196555464458,4.0
315,1.0001513251212633,1.0010173822237236,1.001168861300475,4.0
316,0.9999420573453317,1.0008598624475868,1.0008018699702057,5.0
317,0.9997857543464345,1.000715445853314,1.0005010469185842,5.0
318,0.9995849717170618,1.0005366188726377,1.0001213678776901,5.0
319,0.9994862570189623,1.0003999812325846,0.9998860327639961,6.0
320,0.9995735019819902,1.0003610542826473,0.9999344022757015,6.0
321,0.9996162114151306,1.0003107761139822,0.9999268682567878,6.0
322,0.9998112717616624,1.0003517948071206,1.0001630001751687,5.0
323,1.0002046681239816,1.0005221716460502,1.0007269466419229,4.0
324,1.0004549475579332,1.0006518836016542,1.0011071277324401,4.0
325,1.0006994302979992,1.0008009540099565,1.0015009445194576,4.0
326,1.0009052192118777,1.0009495528572956,1.0018556316226623,4.0
