time,pro_loss,orders
2022/07/19-10:50,-48.0,-1
2022/07/19-11:10,-80.0,1
2022/07/19-11:15,-80.0,-1
2022/07/19-14:20,176.0,1
2022/07/19-14:35,176.0,-1
2022/07/19-14:45,-48.0,1
2022/07/19-14:55,-48.0,-1
2022/07/20-21:35,-32.0,1
2022/07/20-21:40,-32.0,-1
2022/07/20-22:05,196.0,1
2022/07/20-09:05,196.0,-1
2022/07/20-11:25,-88.0,1
2022/07/20-13:35,-88.0,-1
2022/07/20-14:55,-32.0,1
2022/07/21-21:05,-32.0,-1
2022/07/21-21:20,0.0,1
2022/07/21-21:40,0.0,-1
2022/07/21-22:20,-36.0,1
2022/07/21-22:25,-36.0,-1
2022/07/21-22:55,-60.0,1
2022/07/21-09:05,-60.0,-1
2022/07/21-10:55,8.0,1
2022/07/21-11:05,8.0,-1
2022/07/21-13:40,76.0,1
2022/07/21-14:20,76.0,-1
2022/07/22-21:45,-32.0,1
2022/07/22-21:50,-32.0,-1
2022/07/22-21:55,-36.0,1
2022/07/22-22:05,-36.0,-1
2022/07/22-22:35,-24.0,1
2022/07/22-22:55,-24.0,-1
2022/07/22-09:05,-64.0,1
2022/07/22-09:20,-64.0,-1
2022/07/22-09:30,80.0,1
2022/07/22-10:40,80.0,-1
2022/07/22-10:55,-36.0,1
2022/07/22-11:00,-36.0,-1
2022/07/22-11:10,-56.0,1
2022/07/22-11:20,-56.0,-1
2022/07/22-13:45,16.0,1
2022/07/22-14:45,16.0,-1
2022/07/22-15:00,124.0,1
2022/07/25-21:05,124.0,-1
2022/07/25-21:40,-4.0,1
2022/07/25-22:05,-4.0,-1
2022/07/25-22:10,48.0,1
2022/07/25-22:50,48.0,-1
2022/07/25-09:45,-16.0,1
2022/07/25-10:10,-16.0,-1
2022/07/25-10:15,16.0,1
2022/07/25-11:20,16.0,-1
2022/07/25-14:05,-40.0,1
2022/07/25-14:40,-40.0,-1
2022/07/26-21:50,8.0,1
2022/07/26-22:55,8.0,-1
2022/07/26-09:10,-40.0,1
2022/07/26-09:15,-40.0,-1
2022/07/26-09:30,248.0,1
2022/07/26-10:55,248.0,-1
2022/07/26-11:05,-56.0,1
2022/07/26-11:10,-56.0,-1
2022/07/26-11:30,-36.0,1
2022/07/26-13:45,-36.0,-1
2022/07/26-13:55,44.0,1
2022/07/26-14:30,44.0,-1
2022/07/26-14:45,72.0,1
2022/07/27-21:10,72.0,-1
2022/07/27-21:55,-40.0,1
2022/07/27-22:15,-40.0,-1
2022/07/27-22:25,-28.0,1
2022/07/27-22:55,-28.0,-1
2022/07/27-10:55,68.0,1
2022/07/27-11:25,68.0,-1
2022/07/27-14:25,-32.0,1
2022/07/27-14:30,-32.0,-1
2022/07/27-14:55,-32.0,1
2022/07/28-21:05,-32.0,-1
2022/07/28-21:20,312.0,1
2022/07/28-09:50,312.0,-1
2022/07/28-11:00,84.0,1
2022/07/28-13:40,84.0,-1
2022/07/28-14:05,40.0,1
2022/07/29-21:05,40.0,-1
2022/07/29-21:35,-40.0,1
2022/07/29-21:50,-40.0,-1
2022/07/29-22:15,-28.0,1
2022/07/29-22:25,-28.0,-1
2022/07/29-22:30,4.0,1
2022/07/29-23:00,4.0,-1
2022/07/29-09:15,-12.0,1
2022/07/29-09:50,-12.0,-1
2022/07/29-11:05,-32.0,1
2022/07/29-11:10,-32.0,-1
2022/07/29-13:40,-36.0,1
2022/07/29-13:55,-36.0,-1
2022/07/29-14:30,136.0,1
2022/08/01-21:10,136.0,-1
2022/08/01-09:35,-44.0,1
2022/08/01-09:45,-44.0,-1
2022/08/01-10:05,-36.0,1
2022/08/01-10:45,-36.0,-1
2022/08/01-10:50,56.0,1
2022/08/01-11:10,56.0,-1
2022/08/01-11:30,28.0,1
2022/08/01-14:00,28.0,-1
2022/08/01-14:35,-32.0,1
2022/08/01-15:00,-32.0,-1
2022/08/02-21:45,-40.0,1
2022/08/02-21:55,-40.0,-1
2022/08/02-22:00,-32.0,1
2022/08/02-22:20,-32.0,-1
2022/08/02-22:45,-68.0,1
2022/08/02-09:05,-68.0,-1
2022/08/02-09:20,-8.0,1
2022/08/02-09:30,-8.0,-1
2022/08/02-09:35,-52.0,1
2022/08/02-09:45,-52.0,-1
2022/08/02-10:00,-36.0,1
2022/08/02-10:15,-36.0,-1
2022/08/02-11:15,-16.0,1
2022/08/02-11:25,-16.0,-1
2022/08/02-13:35,-36.0,1
2022/08/02-13:40,-36.0,-1
2022/08/02-14:05,104.0,1
2022/08/02-14:25,104.0,-1
2022/08/03-21:20,16.0,1
2022/08/03-21:40,16.0,-1
2022/08/03-22:30,-92.0,1
2022/08/03-22:35,-92.0,-1
2022/08/03-22:50,-48.0,1
2022/08/03-23:00,-48.0,-1
2022/08/03-09:05,64.0,1
2022/08/03-09:25,64.0,-1
2022/08/03-09:45,-12.0,1
2022/08/03-10:35,-12.0,-1
2022/08/03-10:45,-44.0,1
2022/08/03-10:55,-44.0,-1
2022/08/03-11:10,0.0,1
2022/08/03-13:35,0.0,-1
2022/08/03-13:40,12.0,1
2022/08/03-14:20,12.0,-1
2022/08/03-14:30,-48.0,1
2022/08/03-14:40,-48.0,-1
2022/08/04-21:50,-56.0,1
2022/08/04-22:00,-56.0,-1
2022/08/04-22:45,-48.0,1
2022/08/04-22:50,-48.0,-1
2022/08/04-09:30,-20.0,1
2022/08/04-10:15,-20.0,-1
2022/08/04-11:15,-32.0,1
2022/08/04-11:25,-32.0,-1
2022/08/04-14:10,-56.0,1
2022/08/04-14:20,-56.0,-1
2022/08/05-21:50,104.0,1
2022/08/05-22:40,104.0,-1
2022/08/05-09:10,132.0,1
2022/08/05-09:55,132.0,-1
2022/08/05-10:15,-12.0,1
2022/08/05-11:00,-12.0,-1
2022/08/05-11:20,100.0,1
2022/08/05-14:35,100.0,-1
2022/08/08-21:35,220.0,1
2022/08/08-22:50,220.0,-1
2022/08/08-09:10,156.0,1
2022/08/08-09:50,156.0,-1
2022/08/08-10:15,-20.0,1
2022/08/08-10:45,-20.0,-1
2022/08/08-10:55,-32.0,1
2022/08/08-11:00,-32.0,-1
2022/08/08-11:10,-44.0,1
2022/08/08-11:20,-44.0,-1
2022/08/08-13:35,40.0,1
2022/08/08-14:30,40.0,-1
2022/08/08-14:35,0.0,1
2022/08/09-21:05,0.0,-1
2022/08/09-21:10,40.0,1
2022/08/09-22:05,40.0,-1
2022/08/09-22:55,-28.0,1
2022/08/09-09:10,-28.0,-1
2022/08/09-10:35,4.0,1
2022/08/09-11:15,4.0,-1
2022/08/09-13:45,-20.0,1
2022/08/09-14:05,-20.0,-1
2022/08/09-14:15,-84.0,1
2022/08/09-14:25,-84.0,-1
2022/08/09-15:00,20.0,1
2022/08/10-21:50,20.0,-1
2022/08/10-22:00,-36.0,1
