,v3_strength,mv13_ratio,bsp,zig,peak,p_pos,valley,p_v_value,v_pos,z_pos,dw_pct_prev,up_pct_prev,z_pct_prev,z_len_prev,z_pct_prev_avg,up_pct_avg,up_pct_avg_k,dw_pct_avg,dw_pct_avg_k,zig_pct_curr,zig_pct_curr_avg_k,zig_pct_avg,zig_pct_avg_k
3549,0.5174381561495792,0.7796975740989842,0.322,0,3891.0,37,3797.0,3797.0,26,26,-2.4158,0.0,-2.4158,10.0,-0.24158,1.2261912863070539,0.06972914110429447,-1.2868954166666668,-0.07435120365912375,0.5267316302344005,0.019508578897570388,1.2261912863070539,0.07201704003813154
3550,0.506516999860847,0.7999365157332086,0.318,0,3891.0,38,3797.0,3797.0,27,27,-2.4158,0.0,-2.4158,10.0,-0.24158,1.2261912863070539,0.06972914110429447,-1.2868954166666668,-0.07435120365912375,0.658414537792984,0.023514804921178,1.2261912863070539,0.07201704003813154
3551,0.6170948765416366,0.814691837082501,0.409,0,3891.0,39,3797.0,3797.0,28,28,-2.4158,0.0,-2.4158,10.0,-0.24158,1.2261912863070539,0.06972914110429447,-1.2868954166666668,-0.07435120365912375,0.5530682117461216,0.019071317646417986,1.2261912863070539,0.07201704003813154
3552,0.3156697548075641,0.8099535055513419,0.218,0,3891.0,40,3797.0,3797.0,29,29,-2.4158,0.0,-2.4158,10.0,-0.24158,1.2261912863070539,0.06972914110429447,-1.2868954166666668,-0.07435120365912375,0.7374242823281474,0.024580809410938247,1.2261912863070539,0.07201704003813154
3553,0.4581381546013011,0.7317441439097591,0.32,0,3891.0,41,3797.0,3797.0,30,30,-2.4158,0.0,-2.4158,10.0,-0.24158,1.2261912863070539,0.06972914110429447,-1.2868954166666668,-0.07435120365912375,0.7637608638398685,0.02463744722064092,1.2261912863070539,0.07201704003813154
3554,0.49520083996915154,0.6103202058349448,0.355,0,3891.0,42,3797.0,3797.0,31,31,-2.4158,0.0,-2.4158,10.0,-0.24158,1.2261912863070539,0.06972914110429447,-1.2868954166666668,-0.07435120365912375,0.658414537792984,0.02057545430603075,1.2261912863070539,0.07201704003813154
3555,0.7896560009144072,0.6277697610283405,0.571,1,3828.0,0,3797.0,3828.0,32,0,0.0,0.8164,0.8164,31.0,0.026335483870967742,1.2261912863070539,0.06972914110429447,-1.2868954166666668,-0.07435120365912375,0.0,0.0,-1.2868954166666668,0.07201704003813154
3556,0.5014418492970256,0.5904865028496248,1.222,0,3828.0,1,3797.0,3828.0,33,1,0.0,0.8164,0.8164,31.0,0.026335483870967742,1.2261912863070539,0.06972914110429447,-1.2868954166666668,-0.07435120365912375,0.0,0.0,-1.2868954166666668,0.07201704003813154
3557,0.4311636598613318,0.5773440584633285,0.332,0,3828.0,2,3797.0,3828.0,34,2,0.0,0.8164,0.8164,31.0,0.026335483870967742,1.2261912863070539,0.06972914110429447,-1.2868954166666668,-0.07435120365912375,-0.1306165099268508,-0.043538836642283606,-1.2868954166666668,0.07201704003813154
3558,0.5300108170240801,0.5850636122174842,0.449,0,3828.0,3,3797.0,3828.0,35,3,0.0,0.8164,0.8164,31.0,0.026335483870967742,1.2261912863070539,0.06972914110429447,-1.2868954166666668,-0.07435120365912375,-0.23510971786834256,-0.05877742946708564,-1.2868954166666668,0.07201704003813154
3559,0.5053813099404786,0.5914736079491503,0.452,0,3828.0,4,3797.0,3828.0,36,4,0.0,0.8164,0.8164,31.0,0.026335483870967742,1.2261912863070539,0.06972914110429447,-1.2868954166666668,-0.07435120365912375,-0.2089864158829724,-0.04179728317659448,-1.2868954166666668,0.07201704003813154
3560,0.5235972811955613,0.5191711252494776,0.505,0,3828.0,5,3797.0,3828.0,37,5,0.0,0.8164,0.8164,31.0,0.026335483870967742,1.2261912863070539,0.06972914110429447,-1.2868954166666668,-0.07435120365912375,-0.470219435736674,-0.07836990595611233,-1.2868954166666668,0.07201704003813154
3561,0.8721175379252832,0.5470002758259584,0.962,0,3828.0,6,3797.0,3828.0,38,6,0.0,0.8164,0.8164,31.0,0.026335483870967742,1.2261912863070539,0.06972914110429447,-1.2868954166666668,-0.07435120365912375,-0.6269592476489061,-0.08956560680698658,-1.2868954166666668,0.07201704003813154
