time,open,high,low,close,volume,LH_MA_ALL.M1S   ,LH_MA_ALL.M2S   ,LH_MA_ALL.M3S   ,LH_MA_ALL.M2M   ,LH_MA_ALL.M3M   ,LH_MA_ALL.PV1   ,LH_MA_ALL.PV2   ,LH_MA_ALL.PV3   ,LH_MA_ALL.PEAK_PREV1,LH_MA_ALL.PEAK_PREV2,LH_MA_ALL.T_PREV1,LH_MA_ALL.T_PREV2,LH_VOL_TDX2.AMO1  ,LH_VOL_TDX2.VOLUME,LH_VOL_TDX2.MV1   ,LH_VOL_TDX2.MV2   ,LH_VOL_TDX2.MV3   ,LH_VOL_TDX2.      ,LH_VOL_TDX2.      ,LH_VOL_TDX2.      ,LH_VOL_TDX2.      ,LH_VOL_TDX2.      ,LH_VOL_TDX2.      ,LH_VOL_TDX2.      ,LH_VOL_TDX2.      ,LH_VOL_TDX2.      ,LH_VOL_TDX2.TL    ,LH_VOL_TDX2.      ,LH_VOL_TDX2.R23   ,LH_VOL_TDX2.R13   ,LH_VOL_TDX2.R12   ,LH_VOL_TDX2.V1S   ,LH_VOL_TDX2.V2S   ,LH_VOL_TDX2.V3S   ,LH_VOL_TDX2.VVRATIO,LH_VOL_TDX2.AMO1  ,LH_VOL_TDX2.VOLUME,LH_VOL_TDX2.MV1   ,LH_VOL_TDX2.MV2   ,LH_VOL_TDX2.MV3   ,LH_VOL_TDX2.      ,LH_VOL_TDX2.      ,LH_VOL_TDX2.      ,LH_VOL_TDX2.      ,LH_VOL_TDX2.      ,LH_VOL_TDX2.      ,LH_VOL_TDX2.      ,LH_VOL_TDX2.      ,LH_VOL_TDX2.      ,LH_VOL_TDX2.TL    ,LH_VOL_TDX2.      ,LH_VOL_TDX2.R23   ,LH_VOL_TDX2.R13   ,LH_VOL_TDX2.R12   ,LH_VOL_TDX2.V1S   ,LH_VOL_TDX2.V2S   ,LH_VOL_TDX2.V3S   ,LH_VOL_TDX2.VVRATIO
2025/08/12-14:10,6340.4,6341.2,6337,6339.2,496,6336.17,6332.86,6327.02,6318.73,6302.2,6349.89,6341.99,6360.6,6320.8,6320.8,6292.4,6292.4,0,4.96,6.03,7.94,8.88,0,0,0,0,           ,0,1,0,0,0,0,0.89,0.68,0.76,0.82,0.62,0.56,0.6,0,4.96,6.03,7.94,8.88,0,0,0,0,           ,0,1,0,0,0,0,0.89,0.68,0.76,0.82,0.62,0.56,0.6
2025/08/12-14:15,6339.2,6340.2,6334,6335.8,455,6336.06,6333.31,6327.72,6319.42,6302.89,6352.76,6344.47,6362.7,6320.8,6320.8,6292.4,6292.4,0,4.55,5.76,7.77,8.83,0,0,0,0,           ,0,1,0,0,0,0,0.88,0.65,0.74,0.79,0.59,0.52,0.92,0,4.55,5.76,7.77,8.83,0,0,0,0,           ,0,1,0,0,0,0,0.88,0.65,0.74,0.79,0.59,0.52,0.92
2025/08/12-14:20,6335.8,6336,6328.6,6335.6,617,6335.93,6333.66,6328.35,6320.08,6303.57,6355.63,6346.95,6364.79,6320.8,6320.8,6292.4,6292.4,0,6.17,5.84,7.7,8.81,0,0,0,0,           ,0,1,0,0,0,0,0.87,0.66,0.76,1.06,0.8,0.7,1.36,0,6.17,5.84,7.7,8.81,0,0,0,0,           ,0,1,0,0,0,0,0.87,0.66,0.76,1.06,0.8,0.7,1.36
2025/08/12-14:25,6335.8,6342.8,6335.6,6340,678,6337.09,6334.64,6329.28,6320.9,6304.32,6358.51,6349.43,6366.88,6320.8,6320.8,6292.4,6292.4,0,6.78,6.01,7.65,8.79,0,0,0,0,           ,0,1,0,0,0,0,0.87,0.68,0.79,1.13,0.89,0.77,1.1,0,6.78,6.01,7.65,8.79,0,0,0,0,           ,0,1,0,0,0,0,0.87,0.68,0.79,1.13,0.89,0.77,1.1
2025/08/12-14:30,6339.8,6344.8,6338.4,6342.6,413,6338.67,6335.86,6330.35,6321.78,6305.11,6361.38,6351.91,6368.97,6320.8,6320.8,6292.4,6292.4,0,4.13,5.67,7.48,8.74,0,0,0,0,           ,1,0,0,0,0,0,0.86,0.65,0.76,0.73,0.55,0.47,0.61,0,4.13,5.67,7.48,8.74,0,0,0,0,           ,1,0,0,0,0,0,0.86,0.65,0.76,0.73,0.55,0.47,0.61
2025/08/12-14:35,6342.8,6343.8,6336.8,6339.8,456,6338.99,6336.47,6331.11,6322.52,6305.82,6364.26,6354.39,6371.06,6320.8,6320.8,6292.4,6292.4,0,4.56,5.47,7.34,8.7,0,0,0,0,           ,0,1,0,0,0,0,0.84,0.63,0.74,0.83,0.62,0.52,1.1,0,4.56,5.47,7.34,8.7,0,0,0,0,           ,0,1,0,0,0,0,0.84,0.63,0.74,0.83,0.62,0.52,1.1
2025/08/12-14:40,6339,6341.6,6336,6338.2,543,6338.77,6336.73,6331.67,6323.16,6306.49,6367.13,6356.86,6373.15,6320.8,6320.8,6292.4,6292.4,0,5.43,5.46,7.24,8.66,0,0,0,0,           ,0,1,0,0,0,0,0.84,0.63,0.75,0.99,0.75,0.63,1.19,0,5.43,5.46,7.24,8.66,0,0,0,0,           ,0,1,0,0,0,0,0.84,0.63,0.75,0.99,0.75,0.63,1.19
2025/08/12-14:45,6338.4,6338.6,6336,6337.8,395,6338.49,6336.9,6332.16,6323.76,6307.14,6370.01,6359.34,6375.25,6320.8,6320.8,6292.4,6292.4,0,3.95,5.18,7.08,8.62,0,0,0,0,           ,1,0,0,0,0,0,0.82,0.6,0.73,0.76,0.56,0.46,0.73,0,3.95,5.18,7.08,8.62,0,0,0,0,           ,1,0,0,0,0,0,0.82,0.6,0.73,0.76,0.56,0.46,0.73
2025/08/12-14:50,6338.2,6339.4,6336.4,6338.4,489,6338.46,6337.13,6332.66,6324.35,6307.78,6372.88,6361.82,6377.34,6320.8,6320.8,6292.4,6292.4,0,4.89,5.13,6.98,8.58,0,0,0,0,           ,0,1,0,0,0,0,0.81,0.6,0.74,0.95,0.7,0.57,1.24,0,4.89,5.13,6.98,8.58,0,0,0,0,           ,0,1,0,0,0,0,0.81,0.6,0.74,0.95,0.7,0.57,1.24
2025/08/12-14:55,6338.4,6338.4,6332,6336.4,811,6337.87,6337.02,6332.96,6324.85,6308.37,6375.75,6364.3,6379.43,6320.8,6320.8,6292.4,6292.4,0,8.11,5.67,7.03,8.58,0,0,0,0,           ,0,0,1,1,0,0,0.82,0.66,0.81,1.43,1.15,0.95,1.66,0,8.11,5.67,7.03,8.58,0,0,0,0,           ,0,0,1,1,0,0,0.82,0.66,0.81,1.43,1.15,0.95,1.66
